,age,gender,q3,continente,q4,q6,q8,q21,q22,q41
26,50-54,Man,Spain,Europa,Bachelor’s degree,1-3 years,R,50-249 employees,3-4,Local development environments (RStudio-JupyterLab)
27,25-29,Man,Colombia,América del Sur,Bachelor’s degree,1-3 years,Python,"10,000 or more employees",20+,Basic statistical software (Microsoft Excel-Google Sheets)
28,30-34,Woman,United States of America,América del Norte,Bachelor’s degree,< 1 years,SQL,0-49 employees,1-2,Basic statistical software (Microsoft Excel-Google Sheets)
29,30-34,Man,Indonesia,Asia,Master’s degree,5-10 years,Python,50-249 employees,3-4,Local development environments (RStudio-JupyterLab)
30,22-24,Man,Sri Lanka,Asia,Bachelor’s degree,1-3 years,Python,0-49 employees,3-4,Basic statistical software (Microsoft Excel-Google Sheets)
31,25-29,Man,United States of America,América del Norte,Master’s degree,< 1 years,Python,"1000-9,999 employees",20+,Basic statistical software (Microsoft Excel-Google Sheets)
32,35-39,Man,United States of America,América del Norte,Master’s degree,10-20 years,Python,50-249 employees,3-4,Cloud-based data software & APIs (AWS-GCP-Azure)
33,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Europa,Bachelor’s degree,< 1 years,Python,50-249 employees,3-4,Basic statistical software (Microsoft Excel-Google Sheets)
34,25-29,Woman,India,Asia,Master’s degree,< 1 years,SQL,50-249 employees,5-9,Business intelligence software (Salesforce-Tableau-Spotfire)
35,22-24,Woman,India,Asia,Bachelor’s degree,I have never written code,,"10,000 or more employees",5-9,Cloud-based data software & APIs (AWS-GCP-Azure)
36,18-21,Woman,Turkey,África,Master’s degree,1-3 years,Python,0-49 employees,5-9,Basic statistical software (Microsoft Excel-Google Sheets)
37,35-39,Man,China,Asia,Bachelor’s degree,< 1 years,Python,"10,000 or more employees",5-9,Advanced statistical software (SPSS-SAS)
38,22-24,Man,India,Asia,Master’s degree,< 1 years,Python,"10,000 or more employees",1-2,Business intelligence software (Salesforce-Tableau-Spotfire)
39,22-24,Man,United States of America,América del Norte,Some college/university study without earning a bachelor’s degree,< 1 years,SQL,250-999 employees,0,
40,22-24,Man,Pakistan,Asia,Bachelor’s degree,1-3 years,Python,0-49 employees,3-4,Basic statistical software (Microsoft Excel-Google Sheets)
41,35-39,Man,Other,,Bachelor’s degree,< 1 years,Python,0-49 employees,0,Local development environments (RStudio-JupyterLab)
42,22-24,Man,Ukraine,Europa,Bachelor’s degree,< 1 years,SQL,,,
43,35-39,Man,Kenya,África,Bachelor’s degree,1-3 years,Python,,,
44,30-34,Man,"Iran, Islamic Republic of...",Asia,Doctoral degree,3-5 years,Python,"1000-9,999 employees",20+,Advanced statistical software (SPSS-SAS)
45,45-49,Man,United States of America,América del Norte,Some college/university study without earning a bachelor’s degree,10-20 years,Python,50-249 employees,3-4,
46,35-39,Woman,Other,,Bachelor’s degree,1-3 years,SQL,"1000-9,999 employees",5-9,
47,18-21,Woman,China,Asia,I prefer not to answer,1-3 years,Python,0-49 employees,3-4,
48,25-29,Man,South Korea,Asia,Bachelor’s degree,1-3 years,R,,,
49,30-34,Man,Other,,Doctoral degree,< 1 years,Python,,,
50,30-34,Man,Russia,Asia,Master’s degree,3-5 years,Python,250-999 employees,10-14,
51,22-24,Man,Peru,América del Sur,Bachelor’s degree,1-3 years,Python,50-249 employees,1-2,Basic statistical software (Microsoft Excel-Google Sheets)
52,22-24,Man,United States of America,América del Norte,Bachelor’s degree,3-5 years,Python,"10,000 or more employees",20+,Local development environments (RStudio-JupyterLab)
53,50-54,Man,Egypt,África,Bachelor’s degree,3-5 years,R,"1000-9,999 employees",20+,Basic statistical software (Microsoft Excel-Google Sheets)
54,22-24,Woman,Other,,Master’s degree,3-5 years,Python,0-49 employees,5-9,Local development environments (RStudio-JupyterLab)
55,40-44,Man,Belgium,Europa,Bachelor’s degree,20+ years,R,"1000-9,999 employees",3-4,Business intelligence software (Salesforce-Tableau-Spotfire)
56,25-29,Woman,India,Asia,Master’s degree,< 1 years,Python,50-249 employees,0,
57,18-21,Woman,Indonesia,Asia,Some college/university study without earning a bachelor’s degree,20+ years,R,,,
58,30-34,Man,Germany,Europa,Master’s degree,1-3 years,Python,50-249 employees,5-9,Business intelligence software (Salesforce-Tableau-Spotfire)
59,30-34,Man,France,Europa,Master’s degree,1-3 years,Python,0-49 employees,1-2,Local development environments (RStudio-JupyterLab)
60,30-34,Man,China,Asia,Some college/university study without earning a bachelor’s degree,1-3 years,Python,50-249 employees,1-2,Basic statistical software (Microsoft Excel-Google Sheets)
61,25-29,Man,South Korea,Asia,Bachelor’s degree,< 1 years,SQL,0-49 employees,1-2,Local development environments (RStudio-JupyterLab)
62,30-34,Woman,Nigeria,África,Master’s degree,< 1 years,R,"1000-9,999 employees",1-2,Basic statistical software (Microsoft Excel-Google Sheets)
63,30-34,Woman,Other,,Master’s degree,3-5 years,MATLAB,50-249 employees,20+,Other
64,25-29,Man,Russia,Asia,No formal education past high school,5-10 years,SQL,250-999 employees,5-9,Business intelligence software (Salesforce-Tableau-Spotfire)
65,18-21,Man,India,Asia,Bachelor’s degree,< 1 years,Python,0-49 employees,1-2,Basic statistical software (Microsoft Excel-Google Sheets)
66,45-49,Man,Greece,Europa,Bachelor’s degree,< 1 years,Python,"1000-9,999 employees",0,Business intelligence software (Salesforce-Tableau-Spotfire)
67,22-24,Man,China,Asia,Bachelor’s degree,< 1 years,Python,0-49 employees,,
68,22-24,Man,Brazil,América del Sur,Bachelor’s degree,1-3 years,Python,0-49 employees,10-14,Business intelligence software (Salesforce-Tableau-Spotfire)
69,25-29,Man,Egypt,África,Bachelor’s degree,3-5 years,Python,0-49 employees,0,Basic statistical software (Microsoft Excel-Google Sheets)
70,22-24,Man,India,Asia,Master’s degree,< 1 years,R,0-49 employees,1-2,
71,18-21,Woman,India,Asia,Bachelor’s degree,< 1 years,Python,0-49 employees,0,
72,30-34,Woman,Russia,Asia,Master’s degree,3-5 years,Python,"10,000 or more employees",20+,Local development environments (RStudio-JupyterLab)
73,40-44,Man,Indonesia,Asia,Master’s degree,1-3 years,Python,"1000-9,999 employees",5-9,
74,22-24,Man,India,Asia,Bachelor’s degree,I have never written code,,0-49 employees,0,
75,25-29,Woman,India,Asia,Master’s degree,1-3 years,Python,"10,000 or more employees",3-4,Advanced statistical software (SPSS-SAS)
76,25-29,Woman,India,Asia,Master’s degree,< 1 years,Python,250-999 employees,10-14,Basic statistical software (Microsoft Excel-Google Sheets)
77,30-34,Man,Egypt,África,Master’s degree,< 1 years,SQL,"1000-9,999 employees",0,
78,30-34,Man,China,Asia,Master’s degree,3-5 years,Java,0-49 employees,5-9,Local development environments (RStudio-JupyterLab)
79,30-34,Woman,South Korea,Asia,Master’s degree,< 1 years,R,0-49 employees,1-2,Basic statistical software (Microsoft Excel-Google Sheets)
80,30-34,Woman,Nigeria,África,Master’s degree,< 1 years,Python,0-49 employees,1-2,Basic statistical software (Microsoft Excel-Google Sheets)
81,30-34,Man,Taiwan,Asia,Master’s degree,5-10 years,Python,"10,000 or more employees",20+,Business intelligence software (Salesforce-Tableau-Spotfire)
82,22-24,Woman,Turkey,África,Master’s degree,< 1 years,R,50-249 employees,3-4,Basic statistical software (Microsoft Excel-Google Sheets)
83,70+,Man,United States of America,América del Norte,Master’s degree,20+ years,Python,"10,000 or more employees",1-2,
84,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,Python,0-49 employees,1-2,Basic statistical software (Microsoft Excel-Google Sheets)
85,30-34,Man,United States of America,América del Norte,Bachelor’s degree,1-3 years,R,,,
86,30-34,Woman,Portugal,Europa,Master’s degree,5-10 years,Python,50-249 employees,1-2,Advanced statistical software (SPSS-SAS)
87,30-34,Man,India,Asia,Master’s degree,I have never written code,,"10,000 or more employees",0,Other
88,30-34,Man,Australia,Oceanía,Master’s degree,3-5 years,Python,250-999 employees,20+,Business intelligence software (Salesforce-Tableau-Spotfire)
89,25-29,Woman,Turkey,África,Master’s degree,5-10 years,Python,0-49 employees,10-14,
90,25-29,Woman,Germany,Europa,Bachelor’s degree,1-3 years,Python,"10,000 or more employees",3-4,Business intelligence software (Salesforce-Tableau-Spotfire)
91,30-34,Woman,India,Asia,Master’s degree,5-10 years,Python,0-49 employees,0,Local development environments (RStudio-JupyterLab)
92,25-29,Woman,India,Asia,Bachelor’s degree,I have never written code,,"1000-9,999 employees",20+,Basic statistical software (Microsoft Excel-Google Sheets)
93,25-29,Man,China,Asia,Master’s degree,1-3 years,Python,250-999 employees,1-2,Local development environments (RStudio-JupyterLab)
94,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,Python,0-49 employees,1-2,
95,22-24,Man,India,Asia,Bachelor’s degree,< 1 years,Python,50-249 employees,0,Basic statistical software (Microsoft Excel-Google Sheets)
96,30-34,Man,Turkey,África,Bachelor’s degree,< 1 years,Java,0-49 employees,0,Basic statistical software (Microsoft Excel-Google Sheets)
97,25-29,Man,Philippines,Asia,Bachelor’s degree,1-3 years,Python,0-49 employees,3-4,Basic statistical software (Microsoft Excel-Google Sheets)
98,60-69,Man,Taiwan,Asia,Doctoral degree,1-3 years,Python,250-999 employees,20+,Basic statistical software (Microsoft Excel-Google Sheets)
99,35-39,Woman,Australia,Oceanía,Doctoral degree,3-5 years,SQL,50-249 employees,3-4,Local development environments (RStudio-JupyterLab)
100,25-29,Woman,Nigeria,África,Master’s degree,< 1 years,SQL,"10,000 or more employees",20+,Basic statistical software (Microsoft Excel-Google Sheets)
101,40-44,Man,Germany,Europa,Master’s degree,< 1 years,Python,250-999 employees,1-2,
102,25-29,Man,India,Asia,Bachelor’s degree,< 1 years,Python,"1000-9,999 employees",10-14,Local development environments (RStudio-JupyterLab)
103,18-21,Man,China,Asia,Some college/university study without earning a bachelor’s degree,< 1 years,Python,"1000-9,999 employees",20+,Basic statistical software (Microsoft Excel-Google Sheets)
104,25-29,Man,Pakistan,Asia,Bachelor’s degree,< 1 years,Python,0-49 employees,0,Basic statistical software (Microsoft Excel-Google Sheets)
105,30-34,Man,Other,,Master’s degree,1-3 years,R,50-249 employees,0,Basic statistical software (Microsoft Excel-Google Sheets)
106,30-34,Man,Germany,Europa,Doctoral degree,10-20 years,Python,"1000-9,999 employees",10-14,
107,30-34,Woman,Germany,Europa,Master’s degree,5-10 years,R,"10,000 or more employees",5-9,Local development environments (RStudio-JupyterLab)
108,25-29,Man,Nigeria,África,Master’s degree,< 1 years,Python,0-49 employees,1-2,
109,18-21,Woman,India,Asia,Bachelor’s degree,< 1 years,SQL,0-49 employees,0,Basic statistical software (Microsoft Excel-Google Sheets)
110,60-69,Prefer not to say,United States of America,América del Norte,Master’s degree,I have never written code,,"10,000 or more employees",5-9,Local development environments (RStudio-JupyterLab)
111,22-24,Woman,India,Asia,Bachelor’s degree,1-3 years,Python,"1000-9,999 employees",20+,
112,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,Python,"1000-9,999 employees",20+,Cloud-based data software & APIs (AWS-GCP-Azure)
113,45-49,Man,Spain,Europa,Bachelor’s degree,5-10 years,Python,"1000-9,999 employees",20+,Basic statistical software (Microsoft Excel-Google Sheets)
114,22-24,Man,Brazil,América del Sur,Bachelor’s degree,1-3 years,Python,50-249 employees,1-2,Local development environments (RStudio-JupyterLab)
115,40-44,Man,Ukraine,Europa,Master’s degree,3-5 years,Python,0-49 employees,1-2,
116,18-21,Man,India,Asia,Bachelor’s degree,< 1 years,Python,,,
117,22-24,Woman,India,Asia,Master’s degree,1-3 years,Python,50-249 employees,20+,Business intelligence software (Salesforce-Tableau-Spotfire)
118,30-34,Man,South Korea,Asia,Some college/university study without earning a bachelor’s degree,1-3 years,Python,50-249 employees,20+,Basic statistical software (Microsoft Excel-Google Sheets)
119,25-29,Man,Singapore,Asia,Bachelor’s degree,1-3 years,Python,"1000-9,999 employees",5-9,Basic statistical software (Microsoft Excel-Google Sheets)
120,22-24,Woman,Pakistan,Asia,Master’s degree,< 1 years,Python,50-249 employees,3-4,Advanced statistical software (SPSS-SAS)
121,22-24,Man,Egypt,África,Bachelor’s degree,< 1 years,Python,50-249 employees,3-4,
122,22-24,Man,China,Asia,Some college/university study without earning a bachelor’s degree,1-3 years,Python,0-49 employees,1-2,Basic statistical software (Microsoft Excel-Google Sheets)
123,30-34,Man,Nigeria,África,Bachelor’s degree,< 1 years,Python,50-249 employees,1-2,Local development environments (RStudio-JupyterLab)
124,18-21,Woman,India,Asia,Bachelor’s degree,3-5 years,Python,0-49 employees,0,
125,30-34,Woman,Germany,Europa,Master’s degree,< 1 years,SQL,"10,000 or more employees",20+,Business intelligence software (Salesforce-Tableau-Spotfire)
126,25-29,Man,Nigeria,África,Bachelor’s degree,< 1 years,R,50-249 employees,3-4,Local development environments (RStudio-JupyterLab)
127,35-39,Woman,South Africa,África,Bachelor’s degree,3-5 years,Python,0-49 employees,0,Basic statistical software (Microsoft Excel-Google Sheets)
128,35-39,Man,Netherlands,Europa,Master’s degree,1-3 years,R,250-999 employees,1-2,Local development environments (RStudio-JupyterLab)
129,35-39,Man,Brazil,América del Sur,Bachelor’s degree,10-20 years,Python,250-999 employees,10-14,Local development environments (RStudio-JupyterLab)
130,18-21,Woman,India,Asia,Bachelor’s degree,1-3 years,Python,0-49 employees,0,Local development environments (RStudio-JupyterLab)
131,50-54,Woman,United States of America,América del Norte,Master’s degree,20+ years,Python,"10,000 or more employees",20+,Advanced statistical software (SPSS-SAS)
132,25-29,Man,United States of America,América del Norte,Bachelor’s degree,1-3 years,Python,50-249 employees,5-9,
133,35-39,Man,Egypt,África,Master’s degree,1-3 years,Python,0-49 employees,3-4,Local development environments (RStudio-JupyterLab)
134,50-54,Man,Japan,Asia,Master’s degree,20+ years,Python,50-249 employees,5-9,Basic statistical software (Microsoft Excel-Google Sheets)
135,22-24,Man,United Kingdom of Great Britain and Northern Ireland,Europa,Bachelor’s degree,1-3 years,Python,"10,000 or more employees",20+,Business intelligence software (Salesforce-Tableau-Spotfire)
136,35-39,Nonbinary,India,Asia,Bachelor’s degree,< 1 years,SQL,"10,000 or more employees",5-9,
137,30-34,Woman,India,Asia,Doctoral degree,< 1 years,Python,0-49 employees,1-2,Business intelligence software (Salesforce-Tableau-Spotfire)
138,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,Python,"1000-9,999 employees",3-4,Local development environments (RStudio-JupyterLab)
139,30-34,Man,India,Asia,Bachelor’s degree,1-3 years,Python,50-249 employees,5-9,Basic statistical software (Microsoft Excel-Google Sheets)
140,25-29,Man,Colombia,América del Sur,Master’s degree,1-3 years,Python,250-999 employees,15-19,Cloud-based data software & APIs (AWS-GCP-Azure)
141,60-69,Man,Mexico,América del Sur,Master’s degree,5-10 years,R,"10,000 or more employees",20+,Advanced statistical software (SPSS-SAS)
142,40-44,Man,Saudi Arabia,Asia,Doctoral degree,3-5 years,Python,250-999 employees,10-14,Basic statistical software (Microsoft Excel-Google Sheets)
143,22-24,Man,Mexico,América del Sur,Bachelor’s degree,1-3 years,Python,0-49 employees,15-19,Local development environments (RStudio-JupyterLab)
144,40-44,Man,France,Europa,Master’s degree,< 1 years,Python,0-49 employees,1-2,Advanced statistical software (SPSS-SAS)
145,18-21,Man,Japan,Asia,Bachelor’s degree,< 1 years,Python,,,
146,25-29,Woman,Turkey,África,Master’s degree,1-3 years,R,"10,000 or more employees",20+,Local development environments (RStudio-JupyterLab)
147,18-21,Man,Turkey,África,Bachelor’s degree,I have never written code,,0-49 employees,1-2,Basic statistical software (Microsoft Excel-Google Sheets)
148,30-34,Man,India,Asia,Master’s degree,1-3 years,Python,50-249 employees,3-4,Local development environments (RStudio-JupyterLab)
149,35-39,Man,France,Europa,Doctoral degree,20+ years,Python,"10,000 or more employees",20+,Other
150,25-29,Man,Japan,Asia,Bachelor’s degree,1-3 years,Python,"1000-9,999 employees",20+,Local development environments (RStudio-JupyterLab)
151,60-69,Man,United States of America,América del Norte,Master’s degree,10-20 years,Python,"10,000 or more employees",0,Basic statistical software (Microsoft Excel-Google Sheets)
152,30-34,Man,Argentina,América del Sur,Some college/university study without earning a bachelor’s degree,< 1 years,Python,0-49 employees,0,
153,25-29,Man,Ghana,África,I prefer not to answer,10-20 years,Python,250-999 employees,3-4,Basic statistical software (Microsoft Excel-Google Sheets)
154,22-24,Man,India,Asia,Master’s degree,1-3 years,Python,"1000-9,999 employees",20+,Basic statistical software (Microsoft Excel-Google Sheets)
155,25-29,Man,India,Asia,Bachelor’s degree,1-3 years,Python,"10,000 or more employees",0,
156,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,C++,"1000-9,999 employees",3-4,Basic statistical software (Microsoft Excel-Google Sheets)
157,55-59,Man,Morocco,África,Bachelor’s degree,10-20 years,R,0-49 employees,0,Local development environments (RStudio-JupyterLab)
158,18-21,Woman,India,Asia,Bachelor’s degree,1-3 years,Other,,,
159,25-29,Man,Other,,Bachelor’s degree,3-5 years,Python,,,
160,22-24,Woman,United States of America,América del Norte,Master’s degree,< 1 years,R,,,
161,30-34,Man,India,Asia,Master’s degree,I have never written code,,"1000-9,999 employees",20+,Basic statistical software (Microsoft Excel-Google Sheets)
162,22-24,Woman,India,Asia,Master’s degree,< 1 years,R,250-999 employees,5-9,Advanced statistical software (SPSS-SAS)
163,30-34,Man,China,Asia,Master’s degree,5-10 years,Python,"10,000 or more employees",20+,Cloud-based data software & APIs (AWS-GCP-Azure)
164,25-29,Man,India,Asia,Master’s degree,< 1 years,Python,0-49 employees,1-2,Basic statistical software (Microsoft Excel-Google Sheets)
165,18-21,Man,Japan,Asia,Some college/university study without earning a bachelor’s degree,I have never written code,,0-49 employees,0,Basic statistical software (Microsoft Excel-Google Sheets)
166,25-29,Man,Spain,Europa,Some college/university study without earning a bachelor’s degree,3-5 years,Python,250-999 employees,10-14,Local development environments (RStudio-JupyterLab)
167,25-29,Man,China,Asia,Master’s degree,1-3 years,Python,"10,000 or more employees",3-4,Basic statistical software (Microsoft Excel-Google Sheets)
168,25-29,Man,India,Asia,Master’s degree,I have never written code,,"10,000 or more employees",3-4,Local development environments (RStudio-JupyterLab)
169,30-34,Man,Egypt,África,Bachelor’s degree,< 1 years,Python,"1000-9,999 employees",20+,Local development environments (RStudio-JupyterLab)
170,22-24,Man,Poland,Europa,Master’s degree,< 1 years,Python,"10,000 or more employees",20+,Basic statistical software (Microsoft Excel-Google Sheets)
171,22-24,Man,Thailand,Asia,Bachelor’s degree,< 1 years,Python,0-49 employees,,
172,22-24,Man,India,Asia,Bachelor’s degree,1-3 years,SQL,"1000-9,999 employees",20+,Basic statistical software (Microsoft Excel-Google Sheets)
173,22-24,Man,Mexico,América del Sur,Some college/university study without earning a bachelor’s degree,1-3 years,Julia,"10,000 or more employees",1-2,
174,30-34,Man,India,Asia,Master’s degree,< 1 years,Python,"10,000 or more employees",20+,Basic statistical software (Microsoft Excel-Google Sheets)
175,25-29,Man,India,Asia,Master’s degree,< 1 years,Python,250-999 employees,1-2,Basic statistical software (Microsoft Excel-Google Sheets)
176,35-39,Man,Other,,Bachelor’s degree,1-3 years,Javascript,0-49 employees,0,Local development environments (RStudio-JupyterLab)
177,35-39,Woman,Egypt,África,Bachelor’s degree,< 1 years,Python,0-49 employees,0,Local development environments (RStudio-JupyterLab)
178,40-44,Man,France,Europa,Master’s degree,3-5 years,Python,,,
179,25-29,Woman,Kenya,África,Master’s degree,< 1 years,Python,0-49 employees,3-4,Business intelligence software (Salesforce-Tableau-Spotfire)
180,40-44,Woman,Argentina,América del Sur,Master’s degree,< 1 years,Python,0-49 employees,0,
181,35-39,Man,Switzerland,Europa,Bachelor’s degree,1-3 years,Python,250-999 employees,3-4,Local development environments (RStudio-JupyterLab)
182,25-29,Man,India,Asia,Bachelor’s degree,I have never written code,,0-49 employees,3-4,Business intelligence software (Salesforce-Tableau-Spotfire)
183,18-21,Man,Morocco,África,I prefer not to answer,< 1 years,Python,,,
184,40-44,Man,Nigeria,África,Bachelor’s degree,1-3 years,Python,250-999 employees,1-2,Business intelligence software (Salesforce-Tableau-Spotfire)
185,30-34,Man,India,Asia,Master’s degree,< 1 years,Python,0-49 employees,1-2,Basic statistical software (Microsoft Excel-Google Sheets)
186,22-24,Woman,United States of America,América del Norte,Bachelor’s degree,< 1 years,SQL,50-249 employees,3-4,Basic statistical software (Microsoft Excel-Google Sheets)
187,25-29,Man,Other,,Master’s degree,3-5 years,R,0-49 employees,1-2,Advanced statistical software (SPSS-SAS)
188,40-44,Man,Other,,Master’s degree,1-3 years,SQL,50-249 employees,5-9,Business intelligence software (Salesforce-Tableau-Spotfire)
189,25-29,Man,India,Asia,Bachelor’s degree,1-3 years,Python,50-249 employees,5-9,Local development environments (RStudio-JupyterLab)
190,50-54,Woman,Other,,Some college/university study without earning a bachelor’s degree,I have never written code,,0-49 employees,0,
191,22-24,Man,India,Asia,Bachelor’s degree,< 1 years,Python,0-49 employees,1-2,Business intelligence software (Salesforce-Tableau-Spotfire)
192,22-24,Man,Taiwan,Asia,Master’s degree,5-10 years,Python,50-249 employees,3-4,Local development environments (RStudio-JupyterLab)
193,22-24,Woman,India,Asia,Bachelor’s degree,< 1 years,Python,"10,000 or more employees",20+,Basic statistical software (Microsoft Excel-Google Sheets)
194,55-59,Woman,United States of America,América del Norte,Master’s degree,5-10 years,Python,"10,000 or more employees",15-19,Business intelligence software (Salesforce-Tableau-Spotfire)
195,22-24,Woman,Saudi Arabia,Asia,Master’s degree,5-10 years,Python,50-249 employees,1-2,Local development environments (RStudio-JupyterLab)
196,25-29,Man,Other,,Bachelor’s degree,5-10 years,Python,0-49 employees,3-4,
197,35-39,Man,India,Asia,Master’s degree,10-20 years,Python,"1000-9,999 employees",20+,Business intelligence software (Salesforce-Tableau-Spotfire)
198,45-49,Man,India,Asia,Bachelor’s degree,10-20 years,Python,0-49 employees,3-4,Basic statistical software (Microsoft Excel-Google Sheets)
199,30-34,Man,United States of America,América del Norte,Bachelor’s degree,< 1 years,Python,0-49 employees,1-2,Local development environments (RStudio-JupyterLab)
200,22-24,Man,India,Asia,Bachelor’s degree,1-3 years,Python,0-49 employees,1-2,Basic statistical software (Microsoft Excel-Google Sheets)
201,30-34,Man,Other,,Master’s degree,1-3 years,SQL,"1000-9,999 employees",5-9,Basic statistical software (Microsoft Excel-Google Sheets)
202,35-39,Man,Indonesia,Asia,Master’s degree,1-3 years,Python,"1000-9,999 employees",3-4,Basic statistical software (Microsoft Excel-Google Sheets)
203,25-29,Man,China,Asia,Master’s degree,3-5 years,Python,"1000-9,999 employees",5-9,Local development environments (RStudio-JupyterLab)
204,22-24,Man,Pakistan,Asia,Master’s degree,< 1 years,Python,0-49 employees,10-14,Basic statistical software (Microsoft Excel-Google Sheets)
205,35-39,Man,Other,,Master’s degree,10-20 years,Python,0-49 employees,3-4,
206,40-44,Woman,United States of America,América del Norte,Master’s degree,1-3 years,Python,"1000-9,999 employees",10-14,Local development environments (RStudio-JupyterLab)
207,30-34,Man,United States of America,América del Norte,Bachelor’s degree,I have never written code,,0-49 employees,3-4,Basic statistical software (Microsoft Excel-Google Sheets)
208,30-34,Man,Other,,Master’s degree,3-5 years,Python,250-999 employees,1-2,
209,25-29,Man,United Kingdom of Great Britain and Northern Ireland,Europa,Master’s degree,3-5 years,Python,"1000-9,999 employees",5-9,Basic statistical software (Microsoft Excel-Google Sheets)
210,18-21,Woman,India,Asia,Some college/university study without earning a bachelor’s degree,3-5 years,Python,"10,000 or more employees",5-9,Basic statistical software (Microsoft Excel-Google Sheets)
211,30-34,Man,South Africa,África,Bachelor’s degree,3-5 years,Python,0-49 employees,3-4,Local development environments (RStudio-JupyterLab)
212,25-29,Man,Hong Kong (S.A.R.),Asia,Master’s degree,1-3 years,Python,250-999 employees,5-9,Local development environments (RStudio-JupyterLab)
213,25-29,Man,India,Asia,Master’s degree,1-3 years,Python,0-49 employees,3-4,Local development environments (RStudio-JupyterLab)
214,35-39,Man,Saudi Arabia,Asia,Master’s degree,< 1 years,Python,50-249 employees,3-4,Basic statistical software (Microsoft Excel-Google Sheets)
215,22-24,Man,India,Asia,Master’s degree,I have never written code,,0-49 employees,1-2,
216,25-29,Woman,Nigeria,África,Bachelor’s degree,< 1 years,Python,"1000-9,999 employees",20+,Business intelligence software (Salesforce-Tableau-Spotfire)
217,40-44,Man,Other,,Bachelor’s degree,20+ years,Python,"1000-9,999 employees",0,Basic statistical software (Microsoft Excel-Google Sheets)
