,age,gender,q3,continente,q4,q6,q21,q22,q39
70,22-24,Man,India,Asia,Master’s degree,< 1 years,0-49 employees,1-2,
71,18-21,Woman,India,Asia,Bachelor’s degree,< 1 years,0-49 employees,0,
72,30-34,Woman,Russia,Asia,Master’s degree,3-5 years,"10,000 or more employees",20+,I do not share my work publicly
73,40-44,Man,Indonesia,Asia,Master’s degree,1-3 years,"1000-9,999 employees",5-9,
74,22-24,Man,India,Asia,Bachelor’s degree,I have never written code,0-49 employees,0,
75,25-29,Woman,India,Asia,Master’s degree,1-3 years,"10,000 or more employees",3-4,
76,25-29,Woman,India,Asia,Master’s degree,< 1 years,250-999 employees,10-14,Streamlit
76,25-29,Woman,India,Asia,Master’s degree,< 1 years,250-999 employees,10-14,Kaggle
77,30-34,Man,Egypt,África,Master’s degree,< 1 years,"1000-9,999 employees",0,
78,30-34,Man,China,Asia,Master’s degree,3-5 years,0-49 employees,5-9,Plotly Dash
78,30-34,Man,China,Asia,Master’s degree,3-5 years,0-49 employees,5-9,GitHub
79,30-34,Woman,South Korea,Asia,Master’s degree,< 1 years,0-49 employees,1-2,GitHub
79,30-34,Woman,South Korea,Asia,Master’s degree,< 1 years,0-49 employees,1-2,Kaggle
80,30-34,Woman,Nigeria,África,Master’s degree,< 1 years,0-49 employees,1-2,GitHub
81,30-34,Man,Taiwan,Asia,Master’s degree,5-10 years,"10,000 or more employees",20+,I do not share my work publicly
82,22-24,Woman,Turkey,África,Master’s degree,< 1 years,50-249 employees,3-4,I do not share my work publicly
83,70+,Man,United States of America,América del Norte,Master’s degree,20+ years,"10,000 or more employees",1-2,
84,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,0-49 employees,1-2,
85,30-34,Man,United States of America,América del Norte,Bachelor’s degree,1-3 years,,,
86,30-34,Woman,Portugal,Europa,Master’s degree,5-10 years,50-249 employees,1-2,I do not share my work publicly
87,30-34,Man,India,Asia,Master’s degree,I have never written code,"10,000 or more employees",0,
88,30-34,Man,Australia,Oceanía,Master’s degree,3-5 years,250-999 employees,20+,
89,25-29,Woman,Turkey,África,Master’s degree,5-10 years,0-49 employees,10-14,
90,25-29,Woman,Germany,Europa,Bachelor’s degree,1-3 years,"10,000 or more employees",3-4,I do not share my work publicly
91,30-34,Woman,India,Asia,Master’s degree,5-10 years,0-49 employees,0,
92,25-29,Woman,India,Asia,Bachelor’s degree,I have never written code,"1000-9,999 employees",20+,
93,25-29,Man,China,Asia,Master’s degree,1-3 years,250-999 employees,1-2,GitHub
94,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,0-49 employees,1-2,
95,22-24,Man,India,Asia,Bachelor’s degree,< 1 years,50-249 employees,0,GitHub
95,22-24,Man,India,Asia,Bachelor’s degree,< 1 years,50-249 employees,0,Kaggle
96,30-34,Man,Turkey,África,Bachelor’s degree,< 1 years,0-49 employees,0,
97,25-29,Man,Philippines,Asia,Bachelor’s degree,1-3 years,0-49 employees,3-4,
98,60-69,Man,Taiwan,Asia,Doctoral degree,1-3 years,250-999 employees,20+,
99,35-39,Woman,Australia,Oceanía,Doctoral degree,3-5 years,50-249 employees,3-4,
100,25-29,Woman,Nigeria,África,Master’s degree,< 1 years,"10,000 or more employees",20+,I do not share my work publicly
101,40-44,Man,Germany,Europa,Master’s degree,< 1 years,250-999 employees,1-2,
102,25-29,Man,India,Asia,Bachelor’s degree,< 1 years,"1000-9,999 employees",10-14,
103,18-21,Man,China,Asia,Some college/university study without earning a bachelor’s degree,< 1 years,"1000-9,999 employees",20+,
104,25-29,Man,Pakistan,Asia,Bachelor’s degree,< 1 years,0-49 employees,0,I do not share my work publicly
105,30-34,Man,Other,,Master’s degree,1-3 years,50-249 employees,0,
106,30-34,Man,Germany,Europa,Doctoral degree,10-20 years,"1000-9,999 employees",10-14,
107,30-34,Woman,Germany,Europa,Master’s degree,5-10 years,"10,000 or more employees",5-9,
108,25-29,Man,Nigeria,África,Master’s degree,< 1 years,0-49 employees,1-2,
109,18-21,Woman,India,Asia,Bachelor’s degree,< 1 years,0-49 employees,0,I do not share my work publicly
110,60-69,Prefer not to say,United States of America,América del Norte,Master’s degree,I have never written code,"10,000 or more employees",5-9,
111,22-24,Woman,India,Asia,Bachelor’s degree,1-3 years,"1000-9,999 employees",20+,
112,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,"1000-9,999 employees",20+,Plotly Dash
112,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,"1000-9,999 employees",20+,Streamlit
112,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,"1000-9,999 employees",20+,NBViewer
112,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,"1000-9,999 employees",20+,GitHub
112,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,"1000-9,999 employees",20+,Kaggle
112,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,"1000-9,999 employees",20+,Colab
112,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,"1000-9,999 employees",20+,Shiny
113,45-49,Man,Spain,Europa,Bachelor’s degree,5-10 years,"1000-9,999 employees",20+,
114,22-24,Man,Brazil,América del Sur,Bachelor’s degree,1-3 years,50-249 employees,1-2,GitHub
114,22-24,Man,Brazil,América del Sur,Bachelor’s degree,1-3 years,50-249 employees,1-2,Kaggle
114,22-24,Man,Brazil,América del Sur,Bachelor’s degree,1-3 years,50-249 employees,1-2,Colab
115,40-44,Man,Ukraine,Europa,Master’s degree,3-5 years,0-49 employees,1-2,
116,18-21,Man,India,Asia,Bachelor’s degree,< 1 years,,,
117,22-24,Woman,India,Asia,Master’s degree,1-3 years,50-249 employees,20+,GitHub
118,30-34,Man,South Korea,Asia,Some college/university study without earning a bachelor’s degree,1-3 years,50-249 employees,20+,GitHub
118,30-34,Man,South Korea,Asia,Some college/university study without earning a bachelor’s degree,1-3 years,50-249 employees,20+,Kaggle
119,25-29,Man,Singapore,Asia,Bachelor’s degree,1-3 years,"1000-9,999 employees",5-9,I do not share my work publicly
120,22-24,Woman,Pakistan,Asia,Master’s degree,< 1 years,50-249 employees,3-4,
121,22-24,Man,Egypt,África,Bachelor’s degree,< 1 years,50-249 employees,3-4,
122,22-24,Man,China,Asia,Some college/university study without earning a bachelor’s degree,1-3 years,0-49 employees,1-2,I do not share my work publicly
123,30-34,Man,Nigeria,África,Bachelor’s degree,< 1 years,50-249 employees,1-2,
124,18-21,Woman,India,Asia,Bachelor’s degree,3-5 years,0-49 employees,0,
125,30-34,Woman,Germany,Europa,Master’s degree,< 1 years,"10,000 or more employees",20+,I do not share my work publicly
126,25-29,Man,Nigeria,África,Bachelor’s degree,< 1 years,50-249 employees,3-4,GitHub
126,25-29,Man,Nigeria,África,Bachelor’s degree,< 1 years,50-249 employees,3-4,Kaggle
127,35-39,Woman,South Africa,África,Bachelor’s degree,3-5 years,0-49 employees,0,I do not share my work publicly
128,35-39,Man,Netherlands,Europa,Master’s degree,1-3 years,250-999 employees,1-2,
129,35-39,Man,Brazil,América del Sur,Bachelor’s degree,10-20 years,250-999 employees,10-14,GitHub
129,35-39,Man,Brazil,América del Sur,Bachelor’s degree,10-20 years,250-999 employees,10-14,Kaggle
130,18-21,Woman,India,Asia,Bachelor’s degree,1-3 years,0-49 employees,0,GitHub
130,18-21,Woman,India,Asia,Bachelor’s degree,1-3 years,0-49 employees,0,Kaggle
131,50-54,Woman,United States of America,América del Norte,Master’s degree,20+ years,"10,000 or more employees",20+,I do not share my work publicly
132,25-29,Man,United States of America,América del Norte,Bachelor’s degree,1-3 years,50-249 employees,5-9,
133,35-39,Man,Egypt,África,Master’s degree,1-3 years,0-49 employees,3-4,Kaggle
134,50-54,Man,Japan,Asia,Master’s degree,20+ years,50-249 employees,5-9,GitHub
135,22-24,Man,United Kingdom of Great Britain and Northern Ireland,Europa,Bachelor’s degree,1-3 years,"10,000 or more employees",20+,
136,35-39,Nonbinary,India,Asia,Bachelor’s degree,< 1 years,"10,000 or more employees",5-9,
137,30-34,Woman,India,Asia,Doctoral degree,< 1 years,0-49 employees,1-2,GitHub
137,30-34,Woman,India,Asia,Doctoral degree,< 1 years,0-49 employees,1-2,Kaggle
137,30-34,Woman,India,Asia,Doctoral degree,< 1 years,0-49 employees,1-2,Colab
138,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,"1000-9,999 employees",3-4,I do not share my work publicly
139,30-34,Man,India,Asia,Bachelor’s degree,1-3 years,50-249 employees,5-9,GitHub
140,25-29,Man,Colombia,América del Sur,Master’s degree,1-3 years,250-999 employees,15-19,Colab
141,60-69,Man,Mexico,América del Sur,Master’s degree,5-10 years,"10,000 or more employees",20+,Kaggle
142,40-44,Man,Saudi Arabia,Asia,Doctoral degree,3-5 years,250-999 employees,10-14,GitHub
143,22-24,Man,Mexico,América del Sur,Bachelor’s degree,1-3 years,0-49 employees,15-19,
144,40-44,Man,France,Europa,Master’s degree,< 1 years,0-49 employees,1-2,
145,18-21,Man,Japan,Asia,Bachelor’s degree,< 1 years,,,
146,25-29,Woman,Turkey,África,Master’s degree,1-3 years,"10,000 or more employees",20+,
147,18-21,Man,Turkey,África,Bachelor’s degree,I have never written code,0-49 employees,1-2,
148,30-34,Man,India,Asia,Master’s degree,1-3 years,50-249 employees,3-4,Streamlit
148,30-34,Man,India,Asia,Master’s degree,1-3 years,50-249 employees,3-4,GitHub
148,30-34,Man,India,Asia,Master’s degree,1-3 years,50-249 employees,3-4,Kaggle
148,30-34,Man,India,Asia,Master’s degree,1-3 years,50-249 employees,3-4,Colab
149,35-39,Man,France,Europa,Doctoral degree,20+ years,"10,000 or more employees",20+,
150,25-29,Man,Japan,Asia,Bachelor’s degree,1-3 years,"1000-9,999 employees",20+,Kaggle
150,25-29,Man,Japan,Asia,Bachelor’s degree,1-3 years,"1000-9,999 employees",20+,Other
151,60-69,Man,United States of America,América del Norte,Master’s degree,10-20 years,"10,000 or more employees",0,
152,30-34,Man,Argentina,América del Sur,Some college/university study without earning a bachelor’s degree,< 1 years,0-49 employees,0,
153,25-29,Man,Ghana,África,I prefer not to answer,10-20 years,250-999 employees,3-4,
154,22-24,Man,India,Asia,Master’s degree,1-3 years,"1000-9,999 employees",20+,
155,25-29,Man,India,Asia,Bachelor’s degree,1-3 years,"10,000 or more employees",0,Kaggle
155,25-29,Man,India,Asia,Bachelor’s degree,1-3 years,"10,000 or more employees",0,Colab
156,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,"1000-9,999 employees",3-4,Plotly Dash
156,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,"1000-9,999 employees",3-4,Streamlit
156,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,"1000-9,999 employees",3-4,GitHub
156,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,"1000-9,999 employees",3-4,Personal blog
156,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,"1000-9,999 employees",3-4,Kaggle
156,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,"1000-9,999 employees",3-4,Shiny
157,55-59,Man,Morocco,África,Bachelor’s degree,10-20 years,0-49 employees,0,
158,18-21,Woman,India,Asia,Bachelor’s degree,1-3 years,,,
159,25-29,Man,Other,,Bachelor’s degree,3-5 years,,,
160,22-24,Woman,United States of America,América del Norte,Master’s degree,< 1 years,,,
161,30-34,Man,India,Asia,Master’s degree,I have never written code,"1000-9,999 employees",20+,
162,22-24,Woman,India,Asia,Master’s degree,< 1 years,250-999 employees,5-9,
163,30-34,Man,China,Asia,Master’s degree,5-10 years,"10,000 or more employees",20+,I do not share my work publicly
164,25-29,Man,India,Asia,Master’s degree,< 1 years,0-49 employees,1-2,Plotly Dash
164,25-29,Man,India,Asia,Master’s degree,< 1 years,0-49 employees,1-2,NBViewer
164,25-29,Man,India,Asia,Master’s degree,< 1 years,0-49 employees,1-2,Kaggle
165,18-21,Man,Japan,Asia,Some college/university study without earning a bachelor’s degree,I have never written code,0-49 employees,0,
166,25-29,Man,Spain,Europa,Some college/university study without earning a bachelor’s degree,3-5 years,250-999 employees,10-14,I do not share my work publicly
167,25-29,Man,China,Asia,Master’s degree,1-3 years,"10,000 or more employees",3-4,
168,25-29,Man,India,Asia,Master’s degree,I have never written code,"10,000 or more employees",3-4,
169,30-34,Man,Egypt,África,Bachelor’s degree,< 1 years,"1000-9,999 employees",20+,Kaggle
170,22-24,Man,Poland,Europa,Master’s degree,< 1 years,"10,000 or more employees",20+,
171,22-24,Man,Thailand,Asia,Bachelor’s degree,< 1 years,0-49 employees,,
172,22-24,Man,India,Asia,Bachelor’s degree,1-3 years,"1000-9,999 employees",20+,GitHub
173,22-24,Man,Mexico,América del Sur,Some college/university study without earning a bachelor’s degree,1-3 years,"10,000 or more employees",1-2,Plotly Dash
173,22-24,Man,Mexico,América del Sur,Some college/university study without earning a bachelor’s degree,1-3 years,"10,000 or more employees",1-2,GitHub
173,22-24,Man,Mexico,América del Sur,Some college/university study without earning a bachelor’s degree,1-3 years,"10,000 or more employees",1-2,Kaggle
173,22-24,Man,Mexico,América del Sur,Some college/university study without earning a bachelor’s degree,1-3 years,"10,000 or more employees",1-2,Colab
173,22-24,Man,Mexico,América del Sur,Some college/university study without earning a bachelor’s degree,1-3 years,"10,000 or more employees",1-2,Shiny
174,30-34,Man,India,Asia,Master’s degree,< 1 years,"10,000 or more employees",20+,GitHub
174,30-34,Man,India,Asia,Master’s degree,< 1 years,"10,000 or more employees",20+,Colab
175,25-29,Man,India,Asia,Master’s degree,< 1 years,250-999 employees,1-2,GitHub
175,25-29,Man,India,Asia,Master’s degree,< 1 years,250-999 employees,1-2,Kaggle
176,35-39,Man,Other,,Bachelor’s degree,1-3 years,0-49 employees,0,
177,35-39,Woman,Egypt,África,Bachelor’s degree,< 1 years,0-49 employees,0,GitHub
177,35-39,Woman,Egypt,África,Bachelor’s degree,< 1 years,0-49 employees,0,Kaggle
178,40-44,Man,France,Europa,Master’s degree,3-5 years,,,
179,25-29,Woman,Kenya,África,Master’s degree,< 1 years,0-49 employees,3-4,
180,40-44,Woman,Argentina,América del Sur,Master’s degree,< 1 years,0-49 employees,0,
181,35-39,Man,Switzerland,Europa,Bachelor’s degree,1-3 years,250-999 employees,3-4,I do not share my work publicly
182,25-29,Man,India,Asia,Bachelor’s degree,I have never written code,0-49 employees,3-4,
183,18-21,Man,Morocco,África,I prefer not to answer,< 1 years,,,
184,40-44,Man,Nigeria,África,Bachelor’s degree,1-3 years,250-999 employees,1-2,
185,30-34,Man,India,Asia,Master’s degree,< 1 years,0-49 employees,1-2,Kaggle
186,22-24,Woman,United States of America,América del Norte,Bachelor’s degree,< 1 years,50-249 employees,3-4,I do not share my work publicly
187,25-29,Man,Other,,Master’s degree,3-5 years,0-49 employees,1-2,Plotly Dash
187,25-29,Man,Other,,Master’s degree,3-5 years,0-49 employees,1-2,Shiny
188,40-44,Man,Other,,Master’s degree,1-3 years,50-249 employees,5-9,
189,25-29,Man,India,Asia,Bachelor’s degree,1-3 years,50-249 employees,5-9,GitHub
189,25-29,Man,India,Asia,Bachelor’s degree,1-3 years,50-249 employees,5-9,Kaggle
190,50-54,Woman,Other,,Some college/university study without earning a bachelor’s degree,I have never written code,0-49 employees,0,
191,22-24,Man,India,Asia,Bachelor’s degree,< 1 years,0-49 employees,1-2,GitHub
191,22-24,Man,India,Asia,Bachelor’s degree,< 1 years,0-49 employees,1-2,Kaggle
191,22-24,Man,India,Asia,Bachelor’s degree,< 1 years,0-49 employees,1-2,Colab
192,22-24,Man,Taiwan,Asia,Master’s degree,5-10 years,50-249 employees,3-4,GitHub
192,22-24,Man,Taiwan,Asia,Master’s degree,5-10 years,50-249 employees,3-4,Kaggle
192,22-24,Man,Taiwan,Asia,Master’s degree,5-10 years,50-249 employees,3-4,Colab
192,22-24,Man,Taiwan,Asia,Master’s degree,5-10 years,50-249 employees,3-4,Shiny
193,22-24,Woman,India,Asia,Bachelor’s degree,< 1 years,"10,000 or more employees",20+,GitHub
194,55-59,Woman,United States of America,América del Norte,Master’s degree,5-10 years,"10,000 or more employees",15-19,Other
195,22-24,Woman,Saudi Arabia,Asia,Master’s degree,5-10 years,50-249 employees,1-2,GitHub
195,22-24,Woman,Saudi Arabia,Asia,Master’s degree,5-10 years,50-249 employees,1-2,Kaggle
196,25-29,Man,Other,,Bachelor’s degree,5-10 years,0-49 employees,3-4,
197,35-39,Man,India,Asia,Master’s degree,10-20 years,"1000-9,999 employees",20+,Kaggle
198,45-49,Man,India,Asia,Bachelor’s degree,10-20 years,0-49 employees,3-4,I do not share my work publicly
199,30-34,Man,United States of America,América del Norte,Bachelor’s degree,< 1 years,0-49 employees,1-2,
200,22-24,Man,India,Asia,Bachelor’s degree,1-3 years,0-49 employees,1-2,
201,30-34,Man,Other,,Master’s degree,1-3 years,"1000-9,999 employees",5-9,
202,35-39,Man,Indonesia,Asia,Master’s degree,1-3 years,"1000-9,999 employees",3-4,I do not share my work publicly
203,25-29,Man,China,Asia,Master’s degree,3-5 years,"1000-9,999 employees",5-9,GitHub
203,25-29,Man,China,Asia,Master’s degree,3-5 years,"1000-9,999 employees",5-9,Kaggle
204,22-24,Man,Pakistan,Asia,Master’s degree,< 1 years,0-49 employees,10-14,I do not share my work publicly
205,35-39,Man,Other,,Master’s degree,10-20 years,0-49 employees,3-4,
206,40-44,Woman,United States of America,América del Norte,Master’s degree,1-3 years,"1000-9,999 employees",10-14,Kaggle
207,30-34,Man,United States of America,América del Norte,Bachelor’s degree,I have never written code,0-49 employees,3-4,
208,30-34,Man,Other,,Master’s degree,3-5 years,250-999 employees,1-2,
209,25-29,Man,United Kingdom of Great Britain and Northern Ireland,Europa,Master’s degree,3-5 years,"1000-9,999 employees",5-9,
210,18-21,Woman,India,Asia,Some college/university study without earning a bachelor’s degree,3-5 years,"10,000 or more employees",5-9,Personal blog
211,30-34,Man,South Africa,África,Bachelor’s degree,3-5 years,0-49 employees,3-4,
