,age,gender,q3,continente,q4,q6,q8,q21,q22,q34
26,50-54,Man,Spain,Europa,Bachelor’s degree,1-3 years,R,50-249 employees,3-4, Google Data Studio
27,25-29,Man,Colombia,América del Sur,Bachelor’s degree,1-3 years,Python,"10,000 or more employees",20+, Microsoft Power BI
27,25-29,Man,Colombia,América del Sur,Bachelor’s degree,1-3 years,Python,"10,000 or more employees",20+, Google Data Studio
27,25-29,Man,Colombia,América del Sur,Bachelor’s degree,1-3 years,Python,"10,000 or more employees",20+, Tableau
28,30-34,Woman,United States of America,América del Norte,Bachelor’s degree,< 1 years,SQL,0-49 employees,1-2, Tableau CRM
29,30-34,Man,Indonesia,Asia,Master’s degree,5-10 years,Python,50-249 employees,3-4, Google Data Studio
30,22-24,Man,Sri Lanka,Asia,Bachelor’s degree,1-3 years,Python,0-49 employees,3-4, Tableau
31,25-29,Man,United States of America,América del Norte,Master’s degree,< 1 years,Python,"1000-9,999 employees",20+, Microsoft Power BI
31,25-29,Man,United States of America,América del Norte,Master’s degree,< 1 years,Python,"1000-9,999 employees",20+, Tableau
31,25-29,Man,United States of America,América del Norte,Master’s degree,< 1 years,Python,"1000-9,999 employees",20+, TIBCO Spotfire
31,25-29,Man,United States of America,América del Norte,Master’s degree,< 1 years,Python,"1000-9,999 employees",20+, Alteryx 
32,35-39,Man,United States of America,América del Norte,Master’s degree,10-20 years,Python,50-249 employees,3-4, None
33,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Europa,Bachelor’s degree,< 1 years,Python,50-249 employees,3-4, Microsoft Power BI
33,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Europa,Bachelor’s degree,< 1 years,Python,50-249 employees,3-4, Google Data Studio
34,25-29,Woman,India,Asia,Master’s degree,< 1 years,SQL,50-249 employees,5-9, Microsoft Power BI
34,25-29,Woman,India,Asia,Master’s degree,< 1 years,SQL,50-249 employees,5-9, Tableau
35,22-24,Woman,India,Asia,Bachelor’s degree,I have never written code,,"10,000 or more employees",5-9,
36,18-21,Woman,Turkey,África,Master’s degree,1-3 years,Python,0-49 employees,5-9, Tableau CRM
37,35-39,Man,China,Asia,Bachelor’s degree,< 1 years,Python,"10,000 or more employees",5-9, Microsoft Power BI
37,35-39,Man,China,Asia,Bachelor’s degree,< 1 years,Python,"10,000 or more employees",5-9, SAP Analytics Cloud 
38,22-24,Man,India,Asia,Master’s degree,< 1 years,Python,"10,000 or more employees",1-2, Microsoft Power BI
38,22-24,Man,India,Asia,Master’s degree,< 1 years,Python,"10,000 or more employees",1-2, Tableau
39,22-24,Man,United States of America,América del Norte,Some college/university study without earning a bachelor’s degree,< 1 years,SQL,250-999 employees,0,
40,22-24,Man,Pakistan,Asia,Bachelor’s degree,1-3 years,Python,0-49 employees,3-4,
41,35-39,Man,Other,,Bachelor’s degree,< 1 years,Python,0-49 employees,0,
42,22-24,Man,Ukraine,Europa,Bachelor’s degree,< 1 years,SQL,,,
43,35-39,Man,Kenya,África,Bachelor’s degree,1-3 years,Python,,,
44,30-34,Man,"Iran, Islamic Republic of...",Asia,Doctoral degree,3-5 years,Python,"1000-9,999 employees",20+,
45,45-49,Man,United States of America,América del Norte,Some college/university study without earning a bachelor’s degree,10-20 years,Python,50-249 employees,3-4,
46,35-39,Woman,Other,,Bachelor’s degree,1-3 years,SQL,"1000-9,999 employees",5-9,
47,18-21,Woman,China,Asia,I prefer not to answer,1-3 years,Python,0-49 employees,3-4,
48,25-29,Man,South Korea,Asia,Bachelor’s degree,1-3 years,R,,,
49,30-34,Man,Other,,Doctoral degree,< 1 years,Python,,,
50,30-34,Man,Russia,Asia,Master’s degree,3-5 years,Python,250-999 employees,10-14,
51,22-24,Man,Peru,América del Sur,Bachelor’s degree,1-3 years,Python,50-249 employees,1-2, Google Data Studio
51,22-24,Man,Peru,América del Sur,Bachelor’s degree,1-3 years,Python,50-249 employees,1-2, Tableau
52,22-24,Man,United States of America,América del Norte,Bachelor’s degree,3-5 years,Python,"10,000 or more employees",20+, Alteryx 
53,50-54,Man,Egypt,África,Bachelor’s degree,3-5 years,R,"1000-9,999 employees",20+, None
54,22-24,Woman,Other,,Master’s degree,3-5 years,Python,0-49 employees,5-9,
55,40-44,Man,Belgium,Europa,Bachelor’s degree,20+ years,R,"1000-9,999 employees",3-4, Microsoft Power BI
56,25-29,Woman,India,Asia,Master’s degree,< 1 years,Python,50-249 employees,0,
57,18-21,Woman,Indonesia,Asia,Some college/university study without earning a bachelor’s degree,20+ years,R,,,
58,30-34,Man,Germany,Europa,Master’s degree,1-3 years,Python,50-249 employees,5-9, Microsoft Power BI
59,30-34,Man,France,Europa,Master’s degree,1-3 years,Python,0-49 employees,1-2,Amazon QuickSight
59,30-34,Man,France,Europa,Master’s degree,1-3 years,Python,0-49 employees,1-2, Microsoft Power BI
59,30-34,Man,France,Europa,Master’s degree,1-3 years,Python,0-49 employees,1-2, Google Data Studio
59,30-34,Man,France,Europa,Master’s degree,1-3 years,Python,0-49 employees,1-2, Looker
59,30-34,Man,France,Europa,Master’s degree,1-3 years,Python,0-49 employees,1-2, Tableau
59,30-34,Man,France,Europa,Master’s degree,1-3 years,Python,0-49 employees,1-2, Tableau CRM
59,30-34,Man,France,Europa,Master’s degree,1-3 years,Python,0-49 employees,1-2, Qlik
59,30-34,Man,France,Europa,Master’s degree,1-3 years,Python,0-49 employees,1-2, Thoughtspot 
60,30-34,Man,China,Asia,Some college/university study without earning a bachelor’s degree,1-3 years,Python,50-249 employees,1-2, Tableau
61,25-29,Man,South Korea,Asia,Bachelor’s degree,< 1 years,SQL,0-49 employees,1-2,
62,30-34,Woman,Nigeria,África,Master’s degree,< 1 years,R,"1000-9,999 employees",1-2, Tableau
63,30-34,Woman,Other,,Master’s degree,3-5 years,MATLAB,50-249 employees,20+,
64,25-29,Man,Russia,Asia,No formal education past high school,5-10 years,SQL,250-999 employees,5-9, Tableau
65,18-21,Man,India,Asia,Bachelor’s degree,< 1 years,Python,0-49 employees,1-2, None
66,45-49,Man,Greece,Europa,Bachelor’s degree,< 1 years,Python,"1000-9,999 employees",0, Microsoft Power BI
66,45-49,Man,Greece,Europa,Bachelor’s degree,< 1 years,Python,"1000-9,999 employees",0, Qlik
67,22-24,Man,China,Asia,Bachelor’s degree,< 1 years,Python,0-49 employees,,
68,22-24,Man,Brazil,América del Sur,Bachelor’s degree,1-3 years,Python,0-49 employees,10-14,
69,25-29,Man,Egypt,África,Bachelor’s degree,3-5 years,Python,0-49 employees,0, Microsoft Power BI
69,25-29,Man,Egypt,África,Bachelor’s degree,3-5 years,Python,0-49 employees,0, Tableau
70,22-24,Man,India,Asia,Master’s degree,< 1 years,R,0-49 employees,1-2,
71,18-21,Woman,India,Asia,Bachelor’s degree,< 1 years,Python,0-49 employees,0,
72,30-34,Woman,Russia,Asia,Master’s degree,3-5 years,Python,"10,000 or more employees",20+, Tableau
73,40-44,Man,Indonesia,Asia,Master’s degree,1-3 years,Python,"1000-9,999 employees",5-9,
74,22-24,Man,India,Asia,Bachelor’s degree,I have never written code,,0-49 employees,0,
75,25-29,Woman,India,Asia,Master’s degree,1-3 years,Python,"10,000 or more employees",3-4,
76,25-29,Woman,India,Asia,Master’s degree,< 1 years,Python,250-999 employees,10-14,Amazon QuickSight
77,30-34,Man,Egypt,África,Master’s degree,< 1 years,SQL,"1000-9,999 employees",0,
78,30-34,Man,China,Asia,Master’s degree,3-5 years,Java,0-49 employees,5-9, Google Data Studio
79,30-34,Woman,South Korea,Asia,Master’s degree,< 1 years,R,0-49 employees,1-2, Google Data Studio
80,30-34,Woman,Nigeria,África,Master’s degree,< 1 years,Python,0-49 employees,1-2, Microsoft Power BI
81,30-34,Man,Taiwan,Asia,Master’s degree,5-10 years,Python,"10,000 or more employees",20+, Microsoft Power BI
81,30-34,Man,Taiwan,Asia,Master’s degree,5-10 years,Python,"10,000 or more employees",20+, Tableau
82,22-24,Woman,Turkey,África,Master’s degree,< 1 years,R,50-249 employees,3-4, None
83,70+,Man,United States of America,América del Norte,Master’s degree,20+ years,Python,"10,000 or more employees",1-2,
84,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,Python,0-49 employees,1-2,
85,30-34,Man,United States of America,América del Norte,Bachelor’s degree,1-3 years,R,,,
86,30-34,Woman,Portugal,Europa,Master’s degree,5-10 years,Python,50-249 employees,1-2, None
87,30-34,Man,India,Asia,Master’s degree,I have never written code,,"10,000 or more employees",0,
88,30-34,Man,Australia,Oceanía,Master’s degree,3-5 years,Python,250-999 employees,20+,
89,25-29,Woman,Turkey,África,Master’s degree,5-10 years,Python,0-49 employees,10-14,
90,25-29,Woman,Germany,Europa,Bachelor’s degree,1-3 years,Python,"10,000 or more employees",3-4, Microsoft Power BI
90,25-29,Woman,Germany,Europa,Bachelor’s degree,1-3 years,Python,"10,000 or more employees",3-4, Tableau
90,25-29,Woman,Germany,Europa,Bachelor’s degree,1-3 years,Python,"10,000 or more employees",3-4, Salesforce
91,30-34,Woman,India,Asia,Master’s degree,5-10 years,Python,0-49 employees,0,
92,25-29,Woman,India,Asia,Bachelor’s degree,I have never written code,,"1000-9,999 employees",20+,
93,25-29,Man,China,Asia,Master’s degree,1-3 years,Python,250-999 employees,1-2, None
94,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,Python,0-49 employees,1-2, None
95,22-24,Man,India,Asia,Bachelor’s degree,< 1 years,Python,50-249 employees,0, Tableau
96,30-34,Man,Turkey,África,Bachelor’s degree,< 1 years,Java,0-49 employees,0,
97,25-29,Man,Philippines,Asia,Bachelor’s degree,1-3 years,Python,0-49 employees,3-4,
98,60-69,Man,Taiwan,Asia,Doctoral degree,1-3 years,Python,250-999 employees,20+,
99,35-39,Woman,Australia,Oceanía,Doctoral degree,3-5 years,SQL,50-249 employees,3-4,
100,25-29,Woman,Nigeria,África,Master’s degree,< 1 years,SQL,"10,000 or more employees",20+, Microsoft Power BI
101,40-44,Man,Germany,Europa,Master’s degree,< 1 years,Python,250-999 employees,1-2,
102,25-29,Man,India,Asia,Bachelor’s degree,< 1 years,Python,"1000-9,999 employees",10-14,
103,18-21,Man,China,Asia,Some college/university study without earning a bachelor’s degree,< 1 years,Python,"1000-9,999 employees",20+,
104,25-29,Man,Pakistan,Asia,Bachelor’s degree,< 1 years,Python,0-49 employees,0, Tableau
105,30-34,Man,Other,,Master’s degree,1-3 years,R,50-249 employees,0,
106,30-34,Man,Germany,Europa,Doctoral degree,10-20 years,Python,"1000-9,999 employees",10-14,
107,30-34,Woman,Germany,Europa,Master’s degree,5-10 years,R,"10,000 or more employees",5-9,
108,25-29,Man,Nigeria,África,Master’s degree,< 1 years,Python,0-49 employees,1-2,
109,18-21,Woman,India,Asia,Bachelor’s degree,< 1 years,SQL,0-49 employees,0, None
110,60-69,Prefer not to say,United States of America,América del Norte,Master’s degree,I have never written code,,"10,000 or more employees",5-9,
111,22-24,Woman,India,Asia,Bachelor’s degree,1-3 years,Python,"1000-9,999 employees",20+,
112,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,Python,"1000-9,999 employees",20+, Microsoft Power BI
112,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,Python,"1000-9,999 employees",20+, Google Data Studio
112,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,Python,"1000-9,999 employees",20+, Salesforce
113,45-49,Man,Spain,Europa,Bachelor’s degree,5-10 years,Python,"1000-9,999 employees",20+,
114,22-24,Man,Brazil,América del Sur,Bachelor’s degree,1-3 years,Python,50-249 employees,1-2, Microsoft Power BI
115,40-44,Man,Ukraine,Europa,Master’s degree,3-5 years,Python,0-49 employees,1-2,
116,18-21,Man,India,Asia,Bachelor’s degree,< 1 years,Python,,,
117,22-24,Woman,India,Asia,Master’s degree,1-3 years,Python,50-249 employees,20+, Microsoft Power BI
117,22-24,Woman,India,Asia,Master’s degree,1-3 years,Python,50-249 employees,20+, Tableau
118,30-34,Man,South Korea,Asia,Some college/university study without earning a bachelor’s degree,1-3 years,Python,50-249 employees,20+, None
119,25-29,Man,Singapore,Asia,Bachelor’s degree,1-3 years,Python,"1000-9,999 employees",5-9, None
120,22-24,Woman,Pakistan,Asia,Master’s degree,< 1 years,Python,50-249 employees,3-4,
121,22-24,Man,Egypt,África,Bachelor’s degree,< 1 years,Python,50-249 employees,3-4,
122,22-24,Man,China,Asia,Some college/university study without earning a bachelor’s degree,1-3 years,Python,0-49 employees,1-2, None
123,30-34,Man,Nigeria,África,Bachelor’s degree,< 1 years,Python,50-249 employees,1-2,
124,18-21,Woman,India,Asia,Bachelor’s degree,3-5 years,Python,0-49 employees,0,
125,30-34,Woman,Germany,Europa,Master’s degree,< 1 years,SQL,"10,000 or more employees",20+, Other
126,25-29,Man,Nigeria,África,Bachelor’s degree,< 1 years,R,50-249 employees,3-4, Microsoft Power BI
126,25-29,Man,Nigeria,África,Bachelor’s degree,< 1 years,R,50-249 employees,3-4, Tableau
127,35-39,Woman,South Africa,África,Bachelor’s degree,3-5 years,Python,0-49 employees,0, None
128,35-39,Man,Netherlands,Europa,Master’s degree,1-3 years,R,250-999 employees,1-2, Tableau
129,35-39,Man,Brazil,América del Sur,Bachelor’s degree,10-20 years,Python,250-999 employees,10-14, Microsoft Power BI
129,35-39,Man,Brazil,América del Sur,Bachelor’s degree,10-20 years,Python,250-999 employees,10-14, Tableau
130,18-21,Woman,India,Asia,Bachelor’s degree,1-3 years,Python,0-49 employees,0, Microsoft Power BI
130,18-21,Woman,India,Asia,Bachelor’s degree,1-3 years,Python,0-49 employees,0, Tableau
131,50-54,Woman,United States of America,América del Norte,Master’s degree,20+ years,Python,"10,000 or more employees",20+, None
132,25-29,Man,United States of America,América del Norte,Bachelor’s degree,1-3 years,Python,50-249 employees,5-9,
133,35-39,Man,Egypt,África,Master’s degree,1-3 years,Python,0-49 employees,3-4, Microsoft Power BI
133,35-39,Man,Egypt,África,Master’s degree,1-3 years,Python,0-49 employees,3-4, Tableau
133,35-39,Man,Egypt,África,Master’s degree,1-3 years,Python,0-49 employees,3-4, Tableau CRM
134,50-54,Man,Japan,Asia,Master’s degree,20+ years,Python,50-249 employees,5-9, Salesforce
135,22-24,Man,United Kingdom of Great Britain and Northern Ireland,Europa,Bachelor’s degree,1-3 years,Python,"10,000 or more employees",20+,
136,35-39,Nonbinary,India,Asia,Bachelor’s degree,< 1 years,SQL,"10,000 or more employees",5-9,
137,30-34,Woman,India,Asia,Doctoral degree,< 1 years,Python,0-49 employees,1-2, Tableau
138,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,Python,"1000-9,999 employees",3-4, Microsoft Power BI
138,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,Python,"1000-9,999 employees",3-4, Tableau
139,30-34,Man,India,Asia,Bachelor’s degree,1-3 years,Python,50-249 employees,5-9, Microsoft Power BI
139,30-34,Man,India,Asia,Bachelor’s degree,1-3 years,Python,50-249 employees,5-9, Tableau
140,25-29,Man,Colombia,América del Sur,Master’s degree,1-3 years,Python,250-999 employees,15-19, Microsoft Power BI
140,25-29,Man,Colombia,América del Sur,Master’s degree,1-3 years,Python,250-999 employees,15-19, Tableau
140,25-29,Man,Colombia,América del Sur,Master’s degree,1-3 years,Python,250-999 employees,15-19, Tableau CRM
141,60-69,Man,Mexico,América del Sur,Master’s degree,5-10 years,R,"10,000 or more employees",20+, None
142,40-44,Man,Saudi Arabia,Asia,Doctoral degree,3-5 years,Python,250-999 employees,10-14, Microsoft Power BI
142,40-44,Man,Saudi Arabia,Asia,Doctoral degree,3-5 years,Python,250-999 employees,10-14, Google Data Studio
142,40-44,Man,Saudi Arabia,Asia,Doctoral degree,3-5 years,Python,250-999 employees,10-14, Tableau
143,22-24,Man,Mexico,América del Sur,Bachelor’s degree,1-3 years,Python,0-49 employees,15-19,
144,40-44,Man,France,Europa,Master’s degree,< 1 years,Python,0-49 employees,1-2,
145,18-21,Man,Japan,Asia,Bachelor’s degree,< 1 years,Python,,,
146,25-29,Woman,Turkey,África,Master’s degree,1-3 years,R,"10,000 or more employees",20+,
147,18-21,Man,Turkey,África,Bachelor’s degree,I have never written code,,0-49 employees,1-2,
148,30-34,Man,India,Asia,Master’s degree,1-3 years,Python,50-249 employees,3-4, Microsoft Power BI
148,30-34,Man,India,Asia,Master’s degree,1-3 years,Python,50-249 employees,3-4, Tableau
149,35-39,Man,France,Europa,Doctoral degree,20+ years,Python,"10,000 or more employees",20+,
150,25-29,Man,Japan,Asia,Bachelor’s degree,1-3 years,Python,"1000-9,999 employees",20+, Google Data Studio
150,25-29,Man,Japan,Asia,Bachelor’s degree,1-3 years,Python,"1000-9,999 employees",20+, Domo
151,60-69,Man,United States of America,América del Norte,Master’s degree,10-20 years,Python,"10,000 or more employees",0, None
152,30-34,Man,Argentina,América del Sur,Some college/university study without earning a bachelor’s degree,< 1 years,Python,0-49 employees,0,
153,25-29,Man,Ghana,África,I prefer not to answer,10-20 years,Python,250-999 employees,3-4,
154,22-24,Man,India,Asia,Master’s degree,1-3 years,Python,"1000-9,999 employees",20+,
155,25-29,Man,India,Asia,Bachelor’s degree,1-3 years,Python,"10,000 or more employees",0, None
156,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,C++,"1000-9,999 employees",3-4,Amazon QuickSight
156,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,C++,"1000-9,999 employees",3-4, Microsoft Power BI
156,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,C++,"1000-9,999 employees",3-4, Tableau
156,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,C++,"1000-9,999 employees",3-4, Tableau CRM
157,55-59,Man,Morocco,África,Bachelor’s degree,10-20 years,R,0-49 employees,0,
158,18-21,Woman,India,Asia,Bachelor’s degree,1-3 years,Other,,,
159,25-29,Man,Other,,Bachelor’s degree,3-5 years,Python,,,
160,22-24,Woman,United States of America,América del Norte,Master’s degree,< 1 years,R,,,
161,30-34,Man,India,Asia,Master’s degree,I have never written code,,"1000-9,999 employees",20+,
162,22-24,Woman,India,Asia,Master’s degree,< 1 years,R,250-999 employees,5-9,
163,30-34,Man,China,Asia,Master’s degree,5-10 years,Python,"10,000 or more employees",20+, Google Data Studio
163,30-34,Man,China,Asia,Master’s degree,5-10 years,Python,"10,000 or more employees",20+, Qlik
164,25-29,Man,India,Asia,Master’s degree,< 1 years,Python,0-49 employees,1-2, Tableau CRM
165,18-21,Man,Japan,Asia,Some college/university study without earning a bachelor’s degree,I have never written code,,0-49 employees,0,
166,25-29,Man,Spain,Europa,Some college/university study without earning a bachelor’s degree,3-5 years,Python,250-999 employees,10-14, Salesforce
167,25-29,Man,China,Asia,Master’s degree,1-3 years,Python,"10,000 or more employees",3-4,
168,25-29,Man,India,Asia,Master’s degree,I have never written code,,"10,000 or more employees",3-4,
169,30-34,Man,Egypt,África,Bachelor’s degree,< 1 years,Python,"1000-9,999 employees",20+, None
170,22-24,Man,Poland,Europa,Master’s degree,< 1 years,Python,"10,000 or more employees",20+,
171,22-24,Man,Thailand,Asia,Bachelor’s degree,< 1 years,Python,0-49 employees,,
172,22-24,Man,India,Asia,Bachelor’s degree,1-3 years,SQL,"1000-9,999 employees",20+, Qlik
173,22-24,Man,Mexico,América del Sur,Some college/university study without earning a bachelor’s degree,1-3 years,Julia,"10,000 or more employees",1-2, Microsoft Power BI
173,22-24,Man,Mexico,América del Sur,Some college/university study without earning a bachelor’s degree,1-3 years,Julia,"10,000 or more employees",1-2, Tableau CRM
174,30-34,Man,India,Asia,Master’s degree,< 1 years,Python,"10,000 or more employees",20+, None
175,25-29,Man,India,Asia,Master’s degree,< 1 years,Python,250-999 employees,1-2, None
176,35-39,Man,Other,,Bachelor’s degree,1-3 years,Javascript,0-49 employees,0,
177,35-39,Woman,Egypt,África,Bachelor’s degree,< 1 years,Python,0-49 employees,0, Tableau
178,40-44,Man,France,Europa,Master’s degree,3-5 years,Python,,,
179,25-29,Woman,Kenya,África,Master’s degree,< 1 years,Python,0-49 employees,3-4,
180,40-44,Woman,Argentina,América del Sur,Master’s degree,< 1 years,Python,0-49 employees,0,
181,35-39,Man,Switzerland,Europa,Bachelor’s degree,1-3 years,Python,250-999 employees,3-4, Microsoft Power BI
181,35-39,Man,Switzerland,Europa,Bachelor’s degree,1-3 years,Python,250-999 employees,3-4, Tableau
182,25-29,Man,India,Asia,Bachelor’s degree,I have never written code,,0-49 employees,3-4,
183,18-21,Man,Morocco,África,I prefer not to answer,< 1 years,Python,,,
184,40-44,Man,Nigeria,África,Bachelor’s degree,1-3 years,Python,250-999 employees,1-2,
185,30-34,Man,India,Asia,Master’s degree,< 1 years,Python,0-49 employees,1-2, Tableau
186,22-24,Woman,United States of America,América del Norte,Bachelor’s degree,< 1 years,SQL,50-249 employees,3-4, None
187,25-29,Man,Other,,Master’s degree,3-5 years,R,0-49 employees,1-2, Microsoft Power BI
188,40-44,Man,Other,,Master’s degree,1-3 years,SQL,50-249 employees,5-9,
189,25-29,Man,India,Asia,Bachelor’s degree,1-3 years,Python,50-249 employees,5-9,Amazon QuickSight
189,25-29,Man,India,Asia,Bachelor’s degree,1-3 years,Python,50-249 employees,5-9, Microsoft Power BI
189,25-29,Man,India,Asia,Bachelor’s degree,1-3 years,Python,50-249 employees,5-9, Tableau
190,50-54,Woman,Other,,Some college/university study without earning a bachelor’s degree,I have never written code,,0-49 employees,0,
191,22-24,Man,India,Asia,Bachelor’s degree,< 1 years,Python,0-49 employees,1-2, Microsoft Power BI
191,22-24,Man,India,Asia,Bachelor’s degree,< 1 years,Python,0-49 employees,1-2, Tableau
192,22-24,Man,Taiwan,Asia,Master’s degree,5-10 years,Python,50-249 employees,3-4, None
193,22-24,Woman,India,Asia,Bachelor’s degree,< 1 years,Python,"10,000 or more employees",20+, Microsoft Power BI
193,22-24,Woman,India,Asia,Bachelor’s degree,< 1 years,Python,"10,000 or more employees",20+, Tableau
194,55-59,Woman,United States of America,América del Norte,Master’s degree,5-10 years,Python,"10,000 or more employees",15-19, Tableau
195,22-24,Woman,Saudi Arabia,Asia,Master’s degree,5-10 years,Python,50-249 employees,1-2, Microsoft Power BI
195,22-24,Woman,Saudi Arabia,Asia,Master’s degree,5-10 years,Python,50-249 employees,1-2, Tableau CRM
196,25-29,Man,Other,,Bachelor’s degree,5-10 years,Python,0-49 employees,3-4, Microsoft Power BI
196,25-29,Man,Other,,Bachelor’s degree,5-10 years,Python,0-49 employees,3-4, Google Data Studio
196,25-29,Man,Other,,Bachelor’s degree,5-10 years,Python,0-49 employees,3-4, Tableau
197,35-39,Man,India,Asia,Master’s degree,10-20 years,Python,"1000-9,999 employees",20+, Microsoft Power BI
198,45-49,Man,India,Asia,Bachelor’s degree,10-20 years,Python,0-49 employees,3-4, Google Data Studio
198,45-49,Man,India,Asia,Bachelor’s degree,10-20 years,Python,0-49 employees,3-4, Tableau
199,30-34,Man,United States of America,América del Norte,Bachelor’s degree,< 1 years,Python,0-49 employees,1-2,
200,22-24,Man,India,Asia,Bachelor’s degree,1-3 years,Python,0-49 employees,1-2,
201,30-34,Man,Other,,Master’s degree,1-3 years,SQL,"1000-9,999 employees",5-9,
202,35-39,Man,Indonesia,Asia,Master’s degree,1-3 years,Python,"1000-9,999 employees",3-4, Microsoft Power BI
202,35-39,Man,Indonesia,Asia,Master’s degree,1-3 years,Python,"1000-9,999 employees",3-4, Tableau
202,35-39,Man,Indonesia,Asia,Master’s degree,1-3 years,Python,"1000-9,999 employees",3-4, Alteryx 
203,25-29,Man,China,Asia,Master’s degree,3-5 years,Python,"1000-9,999 employees",5-9, Looker
204,22-24,Man,Pakistan,Asia,Master’s degree,< 1 years,Python,0-49 employees,10-14, Microsoft Power BI
204,22-24,Man,Pakistan,Asia,Master’s degree,< 1 years,Python,0-49 employees,10-14, Google Data Studio
204,22-24,Man,Pakistan,Asia,Master’s degree,< 1 years,Python,0-49 employees,10-14, Tableau
205,35-39,Man,Other,,Master’s degree,10-20 years,Python,0-49 employees,3-4,
206,40-44,Woman,United States of America,América del Norte,Master’s degree,1-3 years,Python,"1000-9,999 employees",10-14, Tableau
207,30-34,Man,United States of America,América del Norte,Bachelor’s degree,I have never written code,,0-49 employees,3-4,
208,30-34,Man,Other,,Master’s degree,3-5 years,Python,250-999 employees,1-2,
209,25-29,Man,United Kingdom of Great Britain and Northern Ireland,Europa,Master’s degree,3-5 years,Python,"1000-9,999 employees",5-9,
210,18-21,Woman,India,Asia,Some college/university study without earning a bachelor’s degree,3-5 years,Python,"10,000 or more employees",5-9, Sisense 
211,30-34,Man,South Africa,África,Bachelor’s degree,3-5 years,Python,0-49 employees,3-4,
