,age,gender,q3,continente,q4,q6,q8,q21,q22,q32
18,25-29,Woman,Pakistan,Asia,Doctoral degree,3-5 years,R,50-249 employees,1-2, Microsoft SQL Server 
19,25-29,Woman,India,Asia,Master’s degree,1-3 years,R,250-999 employees,20+,MySQL 
20,40-44,Man,Canada,América del Norte,Master’s degree,< 1 years,Python,0-49 employees,5-9, SQLite 
21,30-34,Man,Nigeria,África,Master’s degree,1-3 years,SQL,"1000-9,999 employees",1-2, Microsoft SQL Server 
22,35-39,Woman,Tunisia,África,Doctoral degree,3-5 years,Java,0-49 employees,3-4,
23,22-24,Man,China,Asia,Bachelor’s degree,1-3 years,Python,50-249 employees,3-4,MySQL 
23,22-24,Man,China,Asia,Bachelor’s degree,1-3 years,Python,50-249 employees,3-4, MongoDB 
24,25-29,Woman,Italy,Europa,Master’s degree,1-3 years,Python,250-999 employees,1-2,
25,25-29,Woman,India,Asia,Bachelor’s degree,3-5 years,Python,"10,000 or more employees",1-2,
26,50-54,Man,Spain,Europa,Bachelor’s degree,1-3 years,R,50-249 employees,3-4, IBM Db2 
26,50-54,Man,Spain,Europa,Bachelor’s degree,1-3 years,R,50-249 employees,3-4, Google Cloud BigQuery 
27,25-29,Man,Colombia,América del Sur,Bachelor’s degree,1-3 years,Python,"10,000 or more employees",20+,MySQL 
27,25-29,Man,Colombia,América del Sur,Bachelor’s degree,1-3 years,Python,"10,000 or more employees",20+, SQLite 
27,25-29,Man,Colombia,América del Sur,Bachelor’s degree,1-3 years,Python,"10,000 or more employees",20+, MongoDB 
28,30-34,Woman,United States of America,América del Norte,Bachelor’s degree,< 1 years,SQL,0-49 employees,1-2,MySQL 
28,30-34,Woman,United States of America,América del Norte,Bachelor’s degree,< 1 years,SQL,0-49 employees,1-2, Microsoft SQL Server 
29,30-34,Man,Indonesia,Asia,Master’s degree,5-10 years,Python,50-249 employees,3-4,MySQL 
29,30-34,Man,Indonesia,Asia,Master’s degree,5-10 years,Python,50-249 employees,3-4, PostgreSQL 
29,30-34,Man,Indonesia,Asia,Master’s degree,5-10 years,Python,50-249 employees,3-4, SQLite 
29,30-34,Man,Indonesia,Asia,Master’s degree,5-10 years,Python,50-249 employees,3-4, Oracle Database 
29,30-34,Man,Indonesia,Asia,Master’s degree,5-10 years,Python,50-249 employees,3-4, Google Cloud SQL 
30,22-24,Man,Sri Lanka,Asia,Bachelor’s degree,1-3 years,Python,0-49 employees,3-4,MySQL 
30,22-24,Man,Sri Lanka,Asia,Bachelor’s degree,1-3 years,Python,0-49 employees,3-4, MongoDB 
31,25-29,Man,United States of America,América del Norte,Master’s degree,< 1 years,Python,"1000-9,999 employees",20+, Snowflake 
32,35-39,Man,United States of America,América del Norte,Master’s degree,10-20 years,Python,50-249 employees,3-4, PostgreSQL 
33,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Europa,Bachelor’s degree,< 1 years,Python,50-249 employees,3-4,MySQL 
33,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Europa,Bachelor’s degree,< 1 years,Python,50-249 employees,3-4, SQLite 
33,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Europa,Bachelor’s degree,< 1 years,Python,50-249 employees,3-4, MongoDB 
33,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Europa,Bachelor’s degree,< 1 years,Python,50-249 employees,3-4, Amazon Redshift 
34,25-29,Woman,India,Asia,Master’s degree,< 1 years,SQL,50-249 employees,5-9, None
35,22-24,Woman,India,Asia,Bachelor’s degree,I have never written code,,"10,000 or more employees",5-9,
36,18-21,Woman,Turkey,África,Master’s degree,1-3 years,Python,0-49 employees,5-9,MySQL 
37,35-39,Man,China,Asia,Bachelor’s degree,< 1 years,Python,"10,000 or more employees",5-9,MySQL 
37,35-39,Man,China,Asia,Bachelor’s degree,< 1 years,Python,"10,000 or more employees",5-9, Microsoft Azure SQL Database 
38,22-24,Man,India,Asia,Master’s degree,< 1 years,Python,"10,000 or more employees",1-2, Google Cloud SQL 
39,22-24,Man,United States of America,América del Norte,Some college/university study without earning a bachelor’s degree,< 1 years,SQL,250-999 employees,0,
40,22-24,Man,Pakistan,Asia,Bachelor’s degree,1-3 years,Python,0-49 employees,3-4,
41,35-39,Man,Other,,Bachelor’s degree,< 1 years,Python,0-49 employees,0,
42,22-24,Man,Ukraine,Europa,Bachelor’s degree,< 1 years,SQL,,,
43,35-39,Man,Kenya,África,Bachelor’s degree,1-3 years,Python,,,
44,30-34,Man,"Iran, Islamic Republic of...",Asia,Doctoral degree,3-5 years,Python,"1000-9,999 employees",20+,
45,45-49,Man,United States of America,América del Norte,Some college/university study without earning a bachelor’s degree,10-20 years,Python,50-249 employees,3-4,
46,35-39,Woman,Other,,Bachelor’s degree,1-3 years,SQL,"1000-9,999 employees",5-9,
47,18-21,Woman,China,Asia,I prefer not to answer,1-3 years,Python,0-49 employees,3-4,
48,25-29,Man,South Korea,Asia,Bachelor’s degree,1-3 years,R,,,
49,30-34,Man,Other,,Doctoral degree,< 1 years,Python,,,
50,30-34,Man,Russia,Asia,Master’s degree,3-5 years,Python,250-999 employees,10-14,
51,22-24,Man,Peru,América del Sur,Bachelor’s degree,1-3 years,Python,50-249 employees,1-2, PostgreSQL 
51,22-24,Man,Peru,América del Sur,Bachelor’s degree,1-3 years,Python,50-249 employees,1-2, Amazon Redshift 
52,22-24,Man,United States of America,América del Norte,Bachelor’s degree,3-5 years,Python,"10,000 or more employees",20+, Other
53,50-54,Man,Egypt,África,Bachelor’s degree,3-5 years,R,"1000-9,999 employees",20+, Oracle Database 
53,50-54,Man,Egypt,África,Bachelor’s degree,3-5 years,R,"1000-9,999 employees",20+, Microsoft SQL Server 
54,22-24,Woman,Other,,Master’s degree,3-5 years,Python,0-49 employees,5-9,
55,40-44,Man,Belgium,Europa,Bachelor’s degree,20+ years,R,"1000-9,999 employees",3-4, Microsoft SQL Server 
56,25-29,Woman,India,Asia,Master’s degree,< 1 years,Python,50-249 employees,0,
57,18-21,Woman,Indonesia,Asia,Some college/university study without earning a bachelor’s degree,20+ years,R,,,
58,30-34,Man,Germany,Europa,Master’s degree,1-3 years,Python,50-249 employees,5-9, PostgreSQL 
58,30-34,Man,Germany,Europa,Master’s degree,1-3 years,Python,50-249 employees,5-9, SQLite 
59,30-34,Man,France,Europa,Master’s degree,1-3 years,Python,0-49 employees,1-2,MySQL 
59,30-34,Man,France,Europa,Master’s degree,1-3 years,Python,0-49 employees,1-2, PostgreSQL 
59,30-34,Man,France,Europa,Master’s degree,1-3 years,Python,0-49 employees,1-2, SQLite 
59,30-34,Man,France,Europa,Master’s degree,1-3 years,Python,0-49 employees,1-2, Snowflake 
59,30-34,Man,France,Europa,Master’s degree,1-3 years,Python,0-49 employees,1-2, Microsoft SQL Server 
59,30-34,Man,France,Europa,Master’s degree,1-3 years,Python,0-49 employees,1-2, Microsoft Azure SQL Database 
59,30-34,Man,France,Europa,Master’s degree,1-3 years,Python,0-49 employees,1-2, Microsoft Azure Cosmos DB 
59,30-34,Man,France,Europa,Master’s degree,1-3 years,Python,0-49 employees,1-2, Amazon RDS 
59,30-34,Man,France,Europa,Master’s degree,1-3 years,Python,0-49 employees,1-2, Google Cloud BigQuery 
59,30-34,Man,France,Europa,Master’s degree,1-3 years,Python,0-49 employees,1-2, Google Cloud SQL 
59,30-34,Man,France,Europa,Master’s degree,1-3 years,Python,0-49 employees,1-2, Google Cloud BigTable 
59,30-34,Man,France,Europa,Master’s degree,1-3 years,Python,0-49 employees,1-2, Google Cloud Spanner 
60,30-34,Man,China,Asia,Some college/university study without earning a bachelor’s degree,1-3 years,Python,50-249 employees,1-2,MySQL 
61,25-29,Man,South Korea,Asia,Bachelor’s degree,< 1 years,SQL,0-49 employees,1-2,
62,30-34,Woman,Nigeria,África,Master’s degree,< 1 years,R,"1000-9,999 employees",1-2,MySQL 
62,30-34,Woman,Nigeria,África,Master’s degree,< 1 years,R,"1000-9,999 employees",1-2, Google Cloud BigQuery 
63,30-34,Woman,Other,,Master’s degree,3-5 years,MATLAB,50-249 employees,20+,
64,25-29,Man,Russia,Asia,No formal education past high school,5-10 years,SQL,250-999 employees,5-9, PostgreSQL 
64,25-29,Man,Russia,Asia,No formal education past high school,5-10 years,SQL,250-999 employees,5-9, Oracle Database 
65,18-21,Man,India,Asia,Bachelor’s degree,< 1 years,Python,0-49 employees,1-2,MySQL 
65,18-21,Man,India,Asia,Bachelor’s degree,< 1 years,Python,0-49 employees,1-2, SQLite 
66,45-49,Man,Greece,Europa,Bachelor’s degree,< 1 years,Python,"1000-9,999 employees",0, Microsoft SQL Server 
67,22-24,Man,China,Asia,Bachelor’s degree,< 1 years,Python,0-49 employees,,
68,22-24,Man,Brazil,América del Sur,Bachelor’s degree,1-3 years,Python,0-49 employees,10-14,
69,25-29,Man,Egypt,África,Bachelor’s degree,3-5 years,Python,0-49 employees,0,MySQL 
69,25-29,Man,Egypt,África,Bachelor’s degree,3-5 years,Python,0-49 employees,0, MongoDB 
69,25-29,Man,Egypt,África,Bachelor’s degree,3-5 years,Python,0-49 employees,0, Microsoft SQL Server 
70,22-24,Man,India,Asia,Master’s degree,< 1 years,R,0-49 employees,1-2,
71,18-21,Woman,India,Asia,Bachelor’s degree,< 1 years,Python,0-49 employees,0,
72,30-34,Woman,Russia,Asia,Master’s degree,3-5 years,Python,"10,000 or more employees",20+,MySQL 
72,30-34,Woman,Russia,Asia,Master’s degree,3-5 years,Python,"10,000 or more employees",20+, PostgreSQL 
73,40-44,Man,Indonesia,Asia,Master’s degree,1-3 years,Python,"1000-9,999 employees",5-9,
74,22-24,Man,India,Asia,Bachelor’s degree,I have never written code,,0-49 employees,0,
75,25-29,Woman,India,Asia,Master’s degree,1-3 years,Python,"10,000 or more employees",3-4,
76,25-29,Woman,India,Asia,Master’s degree,< 1 years,Python,250-999 employees,10-14, SQLite 
76,25-29,Woman,India,Asia,Master’s degree,< 1 years,Python,250-999 employees,10-14, Google Cloud SQL 
77,30-34,Man,Egypt,África,Master’s degree,< 1 years,SQL,"1000-9,999 employees",0,
78,30-34,Man,China,Asia,Master’s degree,3-5 years,Java,0-49 employees,5-9, SQLite 
78,30-34,Man,China,Asia,Master’s degree,3-5 years,Java,0-49 employees,5-9, IBM Db2 
78,30-34,Man,China,Asia,Master’s degree,3-5 years,Java,0-49 employees,5-9, Microsoft SQL Server 
79,30-34,Woman,South Korea,Asia,Master’s degree,< 1 years,R,0-49 employees,1-2,MySQL 
79,30-34,Woman,South Korea,Asia,Master’s degree,< 1 years,R,0-49 employees,1-2, MongoDB 
80,30-34,Woman,Nigeria,África,Master’s degree,< 1 years,Python,0-49 employees,1-2,MySQL 
80,30-34,Woman,Nigeria,África,Master’s degree,< 1 years,Python,0-49 employees,1-2, Google Cloud BigQuery 
81,30-34,Man,Taiwan,Asia,Master’s degree,5-10 years,Python,"10,000 or more employees",20+,MySQL 
81,30-34,Man,Taiwan,Asia,Master’s degree,5-10 years,Python,"10,000 or more employees",20+, PostgreSQL 
81,30-34,Man,Taiwan,Asia,Master’s degree,5-10 years,Python,"10,000 or more employees",20+, SQLite 
81,30-34,Man,Taiwan,Asia,Master’s degree,5-10 years,Python,"10,000 or more employees",20+, Oracle Database 
81,30-34,Man,Taiwan,Asia,Master’s degree,5-10 years,Python,"10,000 or more employees",20+, Microsoft SQL Server 
81,30-34,Man,Taiwan,Asia,Master’s degree,5-10 years,Python,"10,000 or more employees",20+, Google Cloud BigQuery 
82,22-24,Woman,Turkey,África,Master’s degree,< 1 years,R,50-249 employees,3-4, Microsoft SQL Server 
83,70+,Man,United States of America,América del Norte,Master’s degree,20+ years,Python,"10,000 or more employees",1-2,
84,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,Python,0-49 employees,1-2,
85,30-34,Man,United States of America,América del Norte,Bachelor’s degree,1-3 years,R,,,
86,30-34,Woman,Portugal,Europa,Master’s degree,5-10 years,Python,50-249 employees,1-2, Microsoft SQL Server 
87,30-34,Man,India,Asia,Master’s degree,I have never written code,,"10,000 or more employees",0,
88,30-34,Man,Australia,Oceanía,Master’s degree,3-5 years,Python,250-999 employees,20+,
89,25-29,Woman,Turkey,África,Master’s degree,5-10 years,Python,0-49 employees,10-14,
90,25-29,Woman,Germany,Europa,Bachelor’s degree,1-3 years,Python,"10,000 or more employees",3-4,MySQL 
90,25-29,Woman,Germany,Europa,Bachelor’s degree,1-3 years,Python,"10,000 or more employees",3-4, PostgreSQL 
91,30-34,Woman,India,Asia,Master’s degree,5-10 years,Python,0-49 employees,0,
92,25-29,Woman,India,Asia,Bachelor’s degree,I have never written code,,"1000-9,999 employees",20+,
93,25-29,Man,China,Asia,Master’s degree,1-3 years,Python,250-999 employees,1-2,MySQL 
94,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,Python,0-49 employees,1-2,MySQL 
95,22-24,Man,India,Asia,Bachelor’s degree,< 1 years,Python,50-249 employees,0, Google Cloud BigQuery 
96,30-34,Man,Turkey,África,Bachelor’s degree,< 1 years,Java,0-49 employees,0,
97,25-29,Man,Philippines,Asia,Bachelor’s degree,1-3 years,Python,0-49 employees,3-4,
98,60-69,Man,Taiwan,Asia,Doctoral degree,1-3 years,Python,250-999 employees,20+,
99,35-39,Woman,Australia,Oceanía,Doctoral degree,3-5 years,SQL,50-249 employees,3-4,
100,25-29,Woman,Nigeria,África,Master’s degree,< 1 years,SQL,"10,000 or more employees",20+, PostgreSQL 
101,40-44,Man,Germany,Europa,Master’s degree,< 1 years,Python,250-999 employees,1-2,
102,25-29,Man,India,Asia,Bachelor’s degree,< 1 years,Python,"1000-9,999 employees",10-14,
103,18-21,Man,China,Asia,Some college/university study without earning a bachelor’s degree,< 1 years,Python,"1000-9,999 employees",20+,
104,25-29,Man,Pakistan,Asia,Bachelor’s degree,< 1 years,Python,0-49 employees,0, Microsoft SQL Server 
105,30-34,Man,Other,,Master’s degree,1-3 years,R,50-249 employees,0,
106,30-34,Man,Germany,Europa,Doctoral degree,10-20 years,Python,"1000-9,999 employees",10-14,
107,30-34,Woman,Germany,Europa,Master’s degree,5-10 years,R,"10,000 or more employees",5-9,
108,25-29,Man,Nigeria,África,Master’s degree,< 1 years,Python,0-49 employees,1-2,
109,18-21,Woman,India,Asia,Bachelor’s degree,< 1 years,SQL,0-49 employees,0, None
110,60-69,Prefer not to say,United States of America,América del Norte,Master’s degree,I have never written code,,"10,000 or more employees",5-9,
111,22-24,Woman,India,Asia,Bachelor’s degree,1-3 years,Python,"1000-9,999 employees",20+,
112,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,Python,"1000-9,999 employees",20+,MySQL 
112,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,Python,"1000-9,999 employees",20+, Oracle Database 
112,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,Python,"1000-9,999 employees",20+, MongoDB 
112,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,Python,"1000-9,999 employees",20+, Snowflake 
112,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,Python,"1000-9,999 employees",20+, Amazon Redshift 
112,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,Python,"1000-9,999 employees",20+, Amazon RDS 
112,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,Python,"1000-9,999 employees",20+, Google Cloud BigQuery 
112,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,Python,"1000-9,999 employees",20+, Google Cloud Firestore 
112,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,Python,"1000-9,999 employees",20+, Google Cloud BigTable 
113,45-49,Man,Spain,Europa,Bachelor’s degree,5-10 years,Python,"1000-9,999 employees",20+,
114,22-24,Man,Brazil,América del Sur,Bachelor’s degree,1-3 years,Python,50-249 employees,1-2, Microsoft Azure SQL Database 
115,40-44,Man,Ukraine,Europa,Master’s degree,3-5 years,Python,0-49 employees,1-2,
116,18-21,Man,India,Asia,Bachelor’s degree,< 1 years,Python,,,
117,22-24,Woman,India,Asia,Master’s degree,1-3 years,Python,50-249 employees,20+,MySQL 
117,22-24,Woman,India,Asia,Master’s degree,1-3 years,Python,50-249 employees,20+, Oracle Database 
117,22-24,Woman,India,Asia,Master’s degree,1-3 years,Python,50-249 employees,20+, Microsoft SQL Server 
118,30-34,Man,South Korea,Asia,Some college/university study without earning a bachelor’s degree,1-3 years,Python,50-249 employees,20+, None
119,25-29,Man,Singapore,Asia,Bachelor’s degree,1-3 years,Python,"1000-9,999 employees",5-9, SQLite 
120,22-24,Woman,Pakistan,Asia,Master’s degree,< 1 years,Python,50-249 employees,3-4,
121,22-24,Man,Egypt,África,Bachelor’s degree,< 1 years,Python,50-249 employees,3-4,
122,22-24,Man,China,Asia,Some college/university study without earning a bachelor’s degree,1-3 years,Python,0-49 employees,1-2, None
123,30-34,Man,Nigeria,África,Bachelor’s degree,< 1 years,Python,50-249 employees,1-2,
124,18-21,Woman,India,Asia,Bachelor’s degree,3-5 years,Python,0-49 employees,0,
125,30-34,Woman,Germany,Europa,Master’s degree,< 1 years,SQL,"10,000 or more employees",20+, None
126,25-29,Man,Nigeria,África,Bachelor’s degree,< 1 years,R,50-249 employees,3-4, Microsoft Azure Cosmos DB 
127,35-39,Woman,South Africa,África,Bachelor’s degree,3-5 years,Python,0-49 employees,0, None
128,35-39,Man,Netherlands,Europa,Master’s degree,1-3 years,R,250-999 employees,1-2, Amazon RDS 
129,35-39,Man,Brazil,América del Sur,Bachelor’s degree,10-20 years,Python,250-999 employees,10-14, PostgreSQL 
129,35-39,Man,Brazil,América del Sur,Bachelor’s degree,10-20 years,Python,250-999 employees,10-14, Oracle Database 
129,35-39,Man,Brazil,América del Sur,Bachelor’s degree,10-20 years,Python,250-999 employees,10-14, MongoDB 
129,35-39,Man,Brazil,América del Sur,Bachelor’s degree,10-20 years,Python,250-999 employees,10-14, Microsoft SQL Server 
129,35-39,Man,Brazil,América del Sur,Bachelor’s degree,10-20 years,Python,250-999 employees,10-14, Amazon Redshift 
129,35-39,Man,Brazil,América del Sur,Bachelor’s degree,10-20 years,Python,250-999 employees,10-14, Amazon Aurora 
129,35-39,Man,Brazil,América del Sur,Bachelor’s degree,10-20 years,Python,250-999 employees,10-14, Amazon DynamoDB 
129,35-39,Man,Brazil,América del Sur,Bachelor’s degree,10-20 years,Python,250-999 employees,10-14, Other
130,18-21,Woman,India,Asia,Bachelor’s degree,1-3 years,Python,0-49 employees,0,MySQL 
131,50-54,Woman,United States of America,América del Norte,Master’s degree,20+ years,Python,"10,000 or more employees",20+, None
132,25-29,Man,United States of America,América del Norte,Bachelor’s degree,1-3 years,Python,50-249 employees,5-9,
133,35-39,Man,Egypt,África,Master’s degree,1-3 years,Python,0-49 employees,3-4, None
134,50-54,Man,Japan,Asia,Master’s degree,20+ years,Python,50-249 employees,5-9,MySQL 
134,50-54,Man,Japan,Asia,Master’s degree,20+ years,Python,50-249 employees,5-9, PostgreSQL 
134,50-54,Man,Japan,Asia,Master’s degree,20+ years,Python,50-249 employees,5-9, SQLite 
135,22-24,Man,United Kingdom of Great Britain and Northern Ireland,Europa,Bachelor’s degree,1-3 years,Python,"10,000 or more employees",20+,
136,35-39,Nonbinary,India,Asia,Bachelor’s degree,< 1 years,SQL,"10,000 or more employees",5-9,
137,30-34,Woman,India,Asia,Doctoral degree,< 1 years,Python,0-49 employees,1-2, None
138,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,Python,"1000-9,999 employees",3-4,MySQL 
138,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,Python,"1000-9,999 employees",3-4, Microsoft Azure SQL Database 
139,30-34,Man,India,Asia,Bachelor’s degree,1-3 years,Python,50-249 employees,5-9,MySQL 
139,30-34,Man,India,Asia,Bachelor’s degree,1-3 years,Python,50-249 employees,5-9, PostgreSQL 
139,30-34,Man,India,Asia,Bachelor’s degree,1-3 years,Python,50-249 employees,5-9, Microsoft Azure SQL Database 
140,25-29,Man,Colombia,América del Sur,Master’s degree,1-3 years,Python,250-999 employees,15-19, Google Cloud BigQuery 
141,60-69,Man,Mexico,América del Sur,Master’s degree,5-10 years,R,"10,000 or more employees",20+, SQLite 
142,40-44,Man,Saudi Arabia,Asia,Doctoral degree,3-5 years,Python,250-999 employees,10-14, MongoDB 
143,22-24,Man,Mexico,América del Sur,Bachelor’s degree,1-3 years,Python,0-49 employees,15-19,
144,40-44,Man,France,Europa,Master’s degree,< 1 years,Python,0-49 employees,1-2,
145,18-21,Man,Japan,Asia,Bachelor’s degree,< 1 years,Python,,,
146,25-29,Woman,Turkey,África,Master’s degree,1-3 years,R,"10,000 or more employees",20+,
147,18-21,Man,Turkey,África,Bachelor’s degree,I have never written code,,0-49 employees,1-2,
148,30-34,Man,India,Asia,Master’s degree,1-3 years,Python,50-249 employees,3-4, None
149,35-39,Man,France,Europa,Doctoral degree,20+ years,Python,"10,000 or more employees",20+,
150,25-29,Man,Japan,Asia,Bachelor’s degree,1-3 years,Python,"1000-9,999 employees",20+, Other
151,60-69,Man,United States of America,América del Norte,Master’s degree,10-20 years,Python,"10,000 or more employees",0,MySQL 
152,30-34,Man,Argentina,América del Sur,Some college/university study without earning a bachelor’s degree,< 1 years,Python,0-49 employees,0,
153,25-29,Man,Ghana,África,I prefer not to answer,10-20 years,Python,250-999 employees,3-4,
154,22-24,Man,India,Asia,Master’s degree,1-3 years,Python,"1000-9,999 employees",20+,
155,25-29,Man,India,Asia,Bachelor’s degree,1-3 years,Python,"10,000 or more employees",0, PostgreSQL 
155,25-29,Man,India,Asia,Bachelor’s degree,1-3 years,Python,"10,000 or more employees",0, Oracle Database 
156,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,C++,"1000-9,999 employees",3-4,MySQL 
156,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,C++,"1000-9,999 employees",3-4, PostgreSQL 
156,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,C++,"1000-9,999 employees",3-4, SQLite 
156,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,C++,"1000-9,999 employees",3-4, MongoDB 
156,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,C++,"1000-9,999 employees",3-4, IBM Db2 
156,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,C++,"1000-9,999 employees",3-4, Microsoft SQL Server 
157,55-59,Man,Morocco,África,Bachelor’s degree,10-20 years,R,0-49 employees,0,
158,18-21,Woman,India,Asia,Bachelor’s degree,1-3 years,Other,,,
159,25-29,Man,Other,,Bachelor’s degree,3-5 years,Python,,,
160,22-24,Woman,United States of America,América del Norte,Master’s degree,< 1 years,R,,,
161,30-34,Man,India,Asia,Master’s degree,I have never written code,,"1000-9,999 employees",20+,
162,22-24,Woman,India,Asia,Master’s degree,< 1 years,R,250-999 employees,5-9,
163,30-34,Man,China,Asia,Master’s degree,5-10 years,Python,"10,000 or more employees",20+, Google Cloud BigQuery 
164,25-29,Man,India,Asia,Master’s degree,< 1 years,Python,0-49 employees,1-2, Google Cloud SQL 
164,25-29,Man,India,Asia,Master’s degree,< 1 years,Python,0-49 employees,1-2, Google Cloud BigTable 
165,18-21,Man,Japan,Asia,Some college/university study without earning a bachelor’s degree,I have never written code,,0-49 employees,0,
166,25-29,Man,Spain,Europa,Some college/university study without earning a bachelor’s degree,3-5 years,Python,250-999 employees,10-14,MySQL 
166,25-29,Man,Spain,Europa,Some college/university study without earning a bachelor’s degree,3-5 years,Python,250-999 employees,10-14, Microsoft SQL Server 
166,25-29,Man,Spain,Europa,Some college/university study without earning a bachelor’s degree,3-5 years,Python,250-999 employees,10-14, Microsoft Azure SQL Database 
166,25-29,Man,Spain,Europa,Some college/university study without earning a bachelor’s degree,3-5 years,Python,250-999 employees,10-14, Microsoft Azure Cosmos DB 
167,25-29,Man,China,Asia,Master’s degree,1-3 years,Python,"10,000 or more employees",3-4,
168,25-29,Man,India,Asia,Master’s degree,I have never written code,,"10,000 or more employees",3-4,
169,30-34,Man,Egypt,África,Bachelor’s degree,< 1 years,Python,"1000-9,999 employees",20+, SQLite 
170,22-24,Man,Poland,Europa,Master’s degree,< 1 years,Python,"10,000 or more employees",20+,
171,22-24,Man,Thailand,Asia,Bachelor’s degree,< 1 years,Python,0-49 employees,,
172,22-24,Man,India,Asia,Bachelor’s degree,1-3 years,SQL,"1000-9,999 employees",20+,MySQL 
172,22-24,Man,India,Asia,Bachelor’s degree,1-3 years,SQL,"1000-9,999 employees",20+, Oracle Database 
172,22-24,Man,India,Asia,Bachelor’s degree,1-3 years,SQL,"1000-9,999 employees",20+, Microsoft SQL Server 
172,22-24,Man,India,Asia,Bachelor’s degree,1-3 years,SQL,"1000-9,999 employees",20+, Amazon RDS 
