,age,gender,q3,continente,q4,q6,q9,q21,q22
14,22-24,Man,Ukraine,Europa,Doctoral degree,3-5 years,Jupyter Notebook,0-49 employees,1-2
15,25-29,Woman,Pakistan,Asia,Master’s degree,< 1 years,Jupyter Notebook,"1000-9,999 employees",3-4
16,25-29,Woman,India,Asia,Bachelor’s degree,< 1 years,Jupyter-JupyterLab-JupyterNotebooks ,"10,000 or more employees",20+
16,25-29,Woman,India,Asia,Bachelor’s degree,< 1 years,RStudio ,"10,000 or more employees",20+
16,25-29,Woman,India,Asia,Bachelor’s degree,< 1 years, Spyder,"10,000 or more employees",20+
17,35-39,Woman,Other,,Master’s degree,10-20 years,Jupyter-JupyterLab-JupyterNotebooks ,0-49 employees,1-2
17,35-39,Woman,Other,,Master’s degree,10-20 years,Jupyter Notebook,0-49 employees,1-2
18,25-29,Woman,Pakistan,Asia,Doctoral degree,3-5 years, Spyder,50-249 employees,1-2
19,25-29,Woman,India,Asia,Master’s degree,1-3 years,Jupyter Notebook,250-999 employees,20+
20,40-44,Man,Canada,América del Norte,Master’s degree,< 1 years,Jupyter-JupyterLab-JupyterNotebooks ,0-49 employees,5-9
20,40-44,Man,Canada,América del Norte,Master’s degree,< 1 years,Visual Studio Code (VSCode) ,0-49 employees,5-9
20,40-44,Man,Canada,América del Norte,Master’s degree,< 1 years,PyCharm ,0-49 employees,5-9
20,40-44,Man,Canada,América del Norte,Master’s degree,< 1 years,Jupyter Notebook,0-49 employees,5-9
21,30-34,Man,Nigeria,África,Master’s degree,1-3 years,RStudio ,"1000-9,999 employees",1-2
21,30-34,Man,Nigeria,África,Master’s degree,1-3 years,Jupyter Notebook,"1000-9,999 employees",1-2
22,35-39,Woman,Tunisia,África,Doctoral degree,3-5 years,Visual Studio ,0-49 employees,3-4
23,22-24,Man,China,Asia,Bachelor’s degree,1-3 years,PyCharm ,50-249 employees,3-4
23,22-24,Man,China,Asia,Bachelor’s degree,1-3 years,Jupyter Notebook,50-249 employees,3-4
24,25-29,Woman,Italy,Europa,Master’s degree,1-3 years,Jupyter-JupyterLab-JupyterNotebooks ,250-999 employees,1-2
24,25-29,Woman,Italy,Europa,Master’s degree,1-3 years,RStudio ,250-999 employees,1-2
24,25-29,Woman,Italy,Europa,Master’s degree,1-3 years,PyCharm ,250-999 employees,1-2
24,25-29,Woman,Italy,Europa,Master’s degree,1-3 years, Spyder,250-999 employees,1-2
24,25-29,Woman,Italy,Europa,Master’s degree,1-3 years, Sublime Text,250-999 employees,1-2
24,25-29,Woman,Italy,Europa,Master’s degree,1-3 years,Jupyter Notebook,250-999 employees,1-2
25,25-29,Woman,India,Asia,Bachelor’s degree,3-5 years,Jupyter Notebook,"10,000 or more employees",1-2
26,50-54,Man,Spain,Europa,Bachelor’s degree,1-3 years,RStudio ,50-249 employees,3-4
27,25-29,Man,Colombia,América del Sur,Bachelor’s degree,1-3 years,Visual Studio Code (VSCode) ,"10,000 or more employees",20+
28,30-34,Woman,United States of America,América del Norte,Bachelor’s degree,< 1 years,RStudio ,0-49 employees,1-2
29,30-34,Man,Indonesia,Asia,Master’s degree,5-10 years,Visual Studio Code (VSCode) ,50-249 employees,3-4
29,30-34,Man,Indonesia,Asia,Master’s degree,5-10 years, Notepad++,50-249 employees,3-4
29,30-34,Man,Indonesia,Asia,Master’s degree,5-10 years,Jupyter Notebook,50-249 employees,3-4
30,22-24,Man,Sri Lanka,Asia,Bachelor’s degree,1-3 years,Visual Studio Code (VSCode) ,0-49 employees,3-4
30,22-24,Man,Sri Lanka,Asia,Bachelor’s degree,1-3 years,Jupyter Notebook,0-49 employees,3-4
31,25-29,Man,United States of America,América del Norte,Master’s degree,< 1 years,RStudio ,"1000-9,999 employees",20+
31,25-29,Man,United States of America,América del Norte,Master’s degree,< 1 years,Jupyter Notebook,"1000-9,999 employees",20+
32,35-39,Man,United States of America,América del Norte,Master’s degree,10-20 years,RStudio ,50-249 employees,3-4
32,35-39,Man,United States of America,América del Norte,Master’s degree,10-20 years,PyCharm ,50-249 employees,3-4
32,35-39,Man,United States of America,América del Norte,Master’s degree,10-20 years,MATLAB ,50-249 employees,3-4
33,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Europa,Bachelor’s degree,< 1 years,RStudio ,50-249 employees,3-4
33,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Europa,Bachelor’s degree,< 1 years,Visual Studio ,50-249 employees,3-4
33,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Europa,Bachelor’s degree,< 1 years,Visual Studio Code (VSCode) ,50-249 employees,3-4
33,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Europa,Bachelor’s degree,< 1 years,PyCharm ,50-249 employees,3-4
33,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Europa,Bachelor’s degree,< 1 years,Jupyter Notebook,50-249 employees,3-4
34,25-29,Woman,India,Asia,Master’s degree,< 1 years,Jupyter Notebook,50-249 employees,5-9
35,22-24,Woman,India,Asia,Bachelor’s degree,I have never written code,,"10,000 or more employees",5-9
36,18-21,Woman,Turkey,África,Master’s degree,1-3 years, Spyder,0-49 employees,5-9
36,18-21,Woman,Turkey,África,Master’s degree,1-3 years, Other,0-49 employees,5-9
37,35-39,Man,China,Asia,Bachelor’s degree,< 1 years,PyCharm ,"10,000 or more employees",5-9
37,35-39,Man,China,Asia,Bachelor’s degree,< 1 years,Jupyter Notebook,"10,000 or more employees",5-9
38,22-24,Man,India,Asia,Master’s degree,< 1 years,PyCharm ,"10,000 or more employees",1-2
38,22-24,Man,India,Asia,Master’s degree,< 1 years,Jupyter Notebook,"10,000 or more employees",1-2
39,22-24,Man,United States of America,América del Norte,Some college/university study without earning a bachelor’s degree,< 1 years, Notepad++,250-999 employees,0
40,22-24,Man,Pakistan,Asia,Bachelor’s degree,1-3 years,Jupyter-JupyterLab-JupyterNotebooks ,0-49 employees,3-4
40,22-24,Man,Pakistan,Asia,Bachelor’s degree,1-3 years,Visual Studio Code (VSCode) ,0-49 employees,3-4
40,22-24,Man,Pakistan,Asia,Bachelor’s degree,1-3 years,Jupyter Notebook,0-49 employees,3-4
41,35-39,Man,Other,,Bachelor’s degree,< 1 years,Jupyter-JupyterLab-JupyterNotebooks ,0-49 employees,0
41,35-39,Man,Other,,Bachelor’s degree,< 1 years,RStudio ,0-49 employees,0
41,35-39,Man,Other,,Bachelor’s degree,< 1 years,PyCharm ,0-49 employees,0
41,35-39,Man,Other,,Bachelor’s degree,< 1 years, Spyder,0-49 employees,0
41,35-39,Man,Other,,Bachelor’s degree,< 1 years, Notepad++,0-49 employees,0
41,35-39,Man,Other,,Bachelor’s degree,< 1 years,Jupyter Notebook,0-49 employees,0
42,22-24,Man,Ukraine,Europa,Bachelor’s degree,< 1 years,Jupyter-JupyterLab-JupyterNotebooks ,,
42,22-24,Man,Ukraine,Europa,Bachelor’s degree,< 1 years,PyCharm ,,
42,22-24,Man,Ukraine,Europa,Bachelor’s degree,< 1 years,MATLAB ,,
43,35-39,Man,Kenya,África,Bachelor’s degree,1-3 years,Jupyter-JupyterLab-JupyterNotebooks ,,
44,30-34,Man,"Iran, Islamic Republic of...",Asia,Doctoral degree,3-5 years,Visual Studio Code (VSCode) ,"1000-9,999 employees",20+
44,30-34,Man,"Iran, Islamic Republic of...",Asia,Doctoral degree,3-5 years, Spyder,"1000-9,999 employees",20+
44,30-34,Man,"Iran, Islamic Republic of...",Asia,Doctoral degree,3-5 years,Jupyter Notebook,"1000-9,999 employees",20+
45,45-49,Man,United States of America,América del Norte,Some college/university study without earning a bachelor’s degree,10-20 years, Notepad++,50-249 employees,3-4
45,45-49,Man,United States of America,América del Norte,Some college/university study without earning a bachelor’s degree,10-20 years, Vim / Emacs,50-249 employees,3-4
46,35-39,Woman,Other,,Bachelor’s degree,1-3 years, None,"1000-9,999 employees",5-9
47,18-21,Woman,China,Asia,I prefer not to answer,1-3 years,PyCharm ,0-49 employees,3-4
48,25-29,Man,South Korea,Asia,Bachelor’s degree,1-3 years,RStudio ,,
48,25-29,Man,South Korea,Asia,Bachelor’s degree,1-3 years,Visual Studio ,,
48,25-29,Man,South Korea,Asia,Bachelor’s degree,1-3 years,PyCharm ,,
48,25-29,Man,South Korea,Asia,Bachelor’s degree,1-3 years,Jupyter Notebook,,
49,30-34,Man,Other,,Doctoral degree,< 1 years,PyCharm ,,
49,30-34,Man,Other,,Doctoral degree,< 1 years, Spyder,,
49,30-34,Man,Other,,Doctoral degree,< 1 years,Jupyter Notebook,,
50,30-34,Man,Russia,Asia,Master’s degree,3-5 years,Jupyter-JupyterLab-JupyterNotebooks ,250-999 employees,10-14
50,30-34,Man,Russia,Asia,Master’s degree,3-5 years,Visual Studio Code (VSCode) ,250-999 employees,10-14
50,30-34,Man,Russia,Asia,Master’s degree,3-5 years,PyCharm ,250-999 employees,10-14
51,22-24,Man,Peru,América del Sur,Bachelor’s degree,1-3 years,RStudio ,50-249 employees,1-2
51,22-24,Man,Peru,América del Sur,Bachelor’s degree,1-3 years,Visual Studio Code (VSCode) ,50-249 employees,1-2
51,22-24,Man,Peru,América del Sur,Bachelor’s degree,1-3 years,Jupyter Notebook,50-249 employees,1-2
52,22-24,Man,United States of America,América del Norte,Bachelor’s degree,3-5 years,Jupyter-JupyterLab-JupyterNotebooks ,"10,000 or more employees",20+
52,22-24,Man,United States of America,América del Norte,Bachelor’s degree,3-5 years, Notepad++,"10,000 or more employees",20+
52,22-24,Man,United States of America,América del Norte,Bachelor’s degree,3-5 years, Vim / Emacs,"10,000 or more employees",20+
52,22-24,Man,United States of America,América del Norte,Bachelor’s degree,3-5 years,Jupyter Notebook,"10,000 or more employees",20+
53,50-54,Man,Egypt,África,Bachelor’s degree,3-5 years,RStudio ,"1000-9,999 employees",20+
53,50-54,Man,Egypt,África,Bachelor’s degree,3-5 years,Jupyter Notebook,"1000-9,999 employees",20+
54,22-24,Woman,Other,,Master’s degree,3-5 years,Visual Studio ,0-49 employees,5-9
54,22-24,Woman,Other,,Master’s degree,3-5 years,PyCharm ,0-49 employees,5-9
54,22-24,Woman,Other,,Master’s degree,3-5 years,MATLAB ,0-49 employees,5-9
55,40-44,Man,Belgium,Europa,Bachelor’s degree,20+ years,RStudio ,"1000-9,999 employees",3-4
55,40-44,Man,Belgium,Europa,Bachelor’s degree,20+ years,Visual Studio ,"1000-9,999 employees",3-4
55,40-44,Man,Belgium,Europa,Bachelor’s degree,20+ years, Notepad++,"1000-9,999 employees",3-4
56,25-29,Woman,India,Asia,Master’s degree,< 1 years,Jupyter-JupyterLab-JupyterNotebooks ,50-249 employees,0
56,25-29,Woman,India,Asia,Master’s degree,< 1 years,Jupyter Notebook,50-249 employees,0
57,18-21,Woman,Indonesia,Asia,Some college/university study without earning a bachelor’s degree,20+ years,Visual Studio ,,
58,30-34,Man,Germany,Europa,Master’s degree,1-3 years,RStudio ,50-249 employees,5-9
58,30-34,Man,Germany,Europa,Master’s degree,1-3 years,Visual Studio ,50-249 employees,5-9
59,30-34,Man,France,Europa,Master’s degree,1-3 years,Jupyter-JupyterLab-JupyterNotebooks ,0-49 employees,1-2
59,30-34,Man,France,Europa,Master’s degree,1-3 years,RStudio ,0-49 employees,1-2
59,30-34,Man,France,Europa,Master’s degree,1-3 years,Visual Studio ,0-49 employees,1-2
59,30-34,Man,France,Europa,Master’s degree,1-3 years,Visual Studio Code (VSCode) ,0-49 employees,1-2
59,30-34,Man,France,Europa,Master’s degree,1-3 years, Sublime Text,0-49 employees,1-2
59,30-34,Man,France,Europa,Master’s degree,1-3 years,Jupyter Notebook,0-49 employees,1-2
60,30-34,Man,China,Asia,Some college/university study without earning a bachelor’s degree,1-3 years,PyCharm ,50-249 employees,1-2
60,30-34,Man,China,Asia,Some college/university study without earning a bachelor’s degree,1-3 years, Sublime Text,50-249 employees,1-2
60,30-34,Man,China,Asia,Some college/university study without earning a bachelor’s degree,1-3 years,Jupyter Notebook,50-249 employees,1-2
61,25-29,Man,South Korea,Asia,Bachelor’s degree,< 1 years,RStudio ,0-49 employees,1-2
61,25-29,Man,South Korea,Asia,Bachelor’s degree,< 1 years,Jupyter Notebook,0-49 employees,1-2
62,30-34,Woman,Nigeria,África,Master’s degree,< 1 years,RStudio ,"1000-9,999 employees",1-2
63,30-34,Woman,Other,,Master’s degree,3-5 years, None,50-249 employees,20+
64,25-29,Man,Russia,Asia,No formal education past high school,5-10 years,Jupyter Notebook,250-999 employees,5-9
65,18-21,Man,India,Asia,Bachelor’s degree,< 1 years,Jupyter-JupyterLab-JupyterNotebooks ,0-49 employees,1-2
65,18-21,Man,India,Asia,Bachelor’s degree,< 1 years,Visual Studio ,0-49 employees,1-2
65,18-21,Man,India,Asia,Bachelor’s degree,< 1 years,Visual Studio Code (VSCode) ,0-49 employees,1-2
65,18-21,Man,India,Asia,Bachelor’s degree,< 1 years,PyCharm ,0-49 employees,1-2
65,18-21,Man,India,Asia,Bachelor’s degree,< 1 years, Notepad++,0-49 employees,1-2
65,18-21,Man,India,Asia,Bachelor’s degree,< 1 years, Sublime Text,0-49 employees,1-2
65,18-21,Man,India,Asia,Bachelor’s degree,< 1 years,Jupyter Notebook,0-49 employees,1-2
66,45-49,Man,Greece,Europa,Bachelor’s degree,< 1 years,Jupyter-JupyterLab-JupyterNotebooks ,"1000-9,999 employees",0
66,45-49,Man,Greece,Europa,Bachelor’s degree,< 1 years, Notepad++,"1000-9,999 employees",0
66,45-49,Man,Greece,Europa,Bachelor’s degree,< 1 years,Jupyter Notebook,"1000-9,999 employees",0
67,22-24,Man,China,Asia,Bachelor’s degree,< 1 years,PyCharm ,0-49 employees,
68,22-24,Man,Brazil,América del Sur,Bachelor’s degree,1-3 years,Visual Studio ,0-49 employees,10-14
69,25-29,Man,Egypt,África,Bachelor’s degree,3-5 years,Jupyter-JupyterLab-JupyterNotebooks ,0-49 employees,0
69,25-29,Man,Egypt,África,Bachelor’s degree,3-5 years,PyCharm ,0-49 employees,0
69,25-29,Man,Egypt,África,Bachelor’s degree,3-5 years,Jupyter Notebook,0-49 employees,0
70,22-24,Man,India,Asia,Master’s degree,< 1 years,PyCharm ,0-49 employees,1-2
70,22-24,Man,India,Asia,Master’s degree,< 1 years,Jupyter Notebook,0-49 employees,1-2
71,18-21,Woman,India,Asia,Bachelor’s degree,< 1 years,PyCharm ,0-49 employees,0
71,18-21,Woman,India,Asia,Bachelor’s degree,< 1 years, Other,0-49 employees,0
72,30-34,Woman,Russia,Asia,Master’s degree,3-5 years,Jupyter Notebook,"10,000 or more employees",20+
73,40-44,Man,Indonesia,Asia,Master’s degree,1-3 years,Jupyter-JupyterLab-JupyterNotebooks ,"1000-9,999 employees",5-9
73,40-44,Man,Indonesia,Asia,Master’s degree,1-3 years,Visual Studio ,"1000-9,999 employees",5-9
73,40-44,Man,Indonesia,Asia,Master’s degree,1-3 years,PyCharm ,"1000-9,999 employees",5-9
73,40-44,Man,Indonesia,Asia,Master’s degree,1-3 years, Spyder,"1000-9,999 employees",5-9
73,40-44,Man,Indonesia,Asia,Master’s degree,1-3 years, Notepad++,"1000-9,999 employees",5-9
73,40-44,Man,Indonesia,Asia,Master’s degree,1-3 years,Jupyter Notebook,"1000-9,999 employees",5-9
74,22-24,Man,India,Asia,Bachelor’s degree,I have never written code,,0-49 employees,0
75,25-29,Woman,India,Asia,Master’s degree,1-3 years,Jupyter Notebook,"10,000 or more employees",3-4
76,25-29,Woman,India,Asia,Master’s degree,< 1 years,PyCharm ,250-999 employees,10-14
77,30-34,Man,Egypt,África,Master’s degree,< 1 years,Jupyter Notebook,"1000-9,999 employees",0
78,30-34,Man,China,Asia,Master’s degree,3-5 years,Jupyter-JupyterLab-JupyterNotebooks ,0-49 employees,5-9
78,30-34,Man,China,Asia,Master’s degree,3-5 years,Visual Studio Code (VSCode) ,0-49 employees,5-9
78,30-34,Man,China,Asia,Master’s degree,3-5 years,PyCharm ,0-49 employees,5-9
78,30-34,Man,China,Asia,Master’s degree,3-5 years, Notepad++,0-49 employees,5-9
78,30-34,Man,China,Asia,Master’s degree,3-5 years,MATLAB ,0-49 employees,5-9
78,30-34,Man,China,Asia,Master’s degree,3-5 years,Jupyter Notebook,0-49 employees,5-9
79,30-34,Woman,South Korea,Asia,Master’s degree,< 1 years,RStudio ,0-49 employees,1-2
79,30-34,Woman,South Korea,Asia,Master’s degree,< 1 years, Sublime Text,0-49 employees,1-2
79,30-34,Woman,South Korea,Asia,Master’s degree,< 1 years,Jupyter Notebook,0-49 employees,1-2
80,30-34,Woman,Nigeria,África,Master’s degree,< 1 years,Jupyter-JupyterLab-JupyterNotebooks ,0-49 employees,1-2
80,30-34,Woman,Nigeria,África,Master’s degree,< 1 years,RStudio ,0-49 employees,1-2
80,30-34,Woman,Nigeria,África,Master’s degree,< 1 years,Visual Studio ,0-49 employees,1-2
80,30-34,Woman,Nigeria,África,Master’s degree,< 1 years,PyCharm ,0-49 employees,1-2
81,30-34,Man,Taiwan,Asia,Master’s degree,5-10 years,Jupyter-JupyterLab-JupyterNotebooks ,"10,000 or more employees",20+
81,30-34,Man,Taiwan,Asia,Master’s degree,5-10 years,RStudio ,"10,000 or more employees",20+
81,30-34,Man,Taiwan,Asia,Master’s degree,5-10 years,Visual Studio Code (VSCode) ,"10,000 or more employees",20+
81,30-34,Man,Taiwan,Asia,Master’s degree,5-10 years, Notepad++,"10,000 or more employees",20+
81,30-34,Man,Taiwan,Asia,Master’s degree,5-10 years,Jupyter Notebook,"10,000 or more employees",20+
82,22-24,Woman,Turkey,África,Master’s degree,< 1 years,RStudio ,50-249 employees,3-4
82,22-24,Woman,Turkey,África,Master’s degree,< 1 years,Jupyter Notebook,50-249 employees,3-4
82,22-24,Woman,Turkey,África,Master’s degree,< 1 years, Other,50-249 employees,3-4
83,70+,Man,United States of America,América del Norte,Master’s degree,20+ years,Visual Studio ,"10,000 or more employees",1-2
83,70+,Man,United States of America,América del Norte,Master’s degree,20+ years,MATLAB ,"10,000 or more employees",1-2
83,70+,Man,United States of America,América del Norte,Master’s degree,20+ years,Jupyter Notebook,"10,000 or more employees",1-2
84,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,Jupyter-JupyterLab-JupyterNotebooks ,0-49 employees,1-2
84,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,RStudio ,0-49 employees,1-2
84,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,Visual Studio ,0-49 employees,1-2
84,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,Visual Studio Code (VSCode) ,0-49 employees,1-2
84,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,PyCharm ,0-49 employees,1-2
84,18-21,Man,India,Asia,Bachelor’s degree,1-3 years, Spyder,0-49 employees,1-2
84,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,MATLAB ,0-49 employees,1-2
84,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,Jupyter Notebook,0-49 employees,1-2
85,30-34,Man,United States of America,América del Norte,Bachelor’s degree,1-3 years,RStudio ,,
85,30-34,Man,United States of America,América del Norte,Bachelor’s degree,1-3 years,Jupyter Notebook,,
86,30-34,Woman,Portugal,Europa,Master’s degree,5-10 years, Spyder,50-249 employees,1-2
87,30-34,Man,India,Asia,Master’s degree,I have never written code,,"10,000 or more employees",0
88,30-34,Man,Australia,Oceanía,Master’s degree,3-5 years, Sublime Text,250-999 employees,20+
88,30-34,Man,Australia,Oceanía,Master’s degree,3-5 years,Jupyter Notebook,250-999 employees,20+
89,25-29,Woman,Turkey,África,Master’s degree,5-10 years,Jupyter-JupyterLab-JupyterNotebooks ,0-49 employees,10-14
89,25-29,Woman,Turkey,África,Master’s degree,5-10 years,Visual Studio Code (VSCode) ,0-49 employees,10-14
89,25-29,Woman,Turkey,África,Master’s degree,5-10 years,PyCharm ,0-49 employees,10-14
89,25-29,Woman,Turkey,África,Master’s degree,5-10 years, Notepad++,0-49 employees,10-14
89,25-29,Woman,Turkey,África,Master’s degree,5-10 years,Jupyter Notebook,0-49 employees,10-14
90,25-29,Woman,Germany,Europa,Bachelor’s degree,1-3 years,PyCharm ,"10,000 or more employees",3-4
90,25-29,Woman,Germany,Europa,Bachelor’s degree,1-3 years,Jupyter Notebook,"10,000 or more employees",3-4
91,30-34,Woman,India,Asia,Master’s degree,5-10 years, Spyder,0-49 employees,0
91,30-34,Woman,India,Asia,Master’s degree,5-10 years,Jupyter Notebook,0-49 employees,0
92,25-29,Woman,India,Asia,Bachelor’s degree,I have never written code,,"1000-9,999 employees",20+
93,25-29,Man,China,Asia,Master’s degree,1-3 years,PyCharm ,250-999 employees,1-2
93,25-29,Man,China,Asia,Master’s degree,1-3 years,Jupyter Notebook,250-999 employees,1-2
94,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,PyCharm ,0-49 employees,1-2
94,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,Jupyter Notebook,0-49 employees,1-2
95,22-24,Man,India,Asia,Bachelor’s degree,< 1 years,RStudio ,50-249 employees,0
96,30-34,Man,Turkey,África,Bachelor’s degree,< 1 years,Jupyter Notebook,0-49 employees,0
97,25-29,Man,Philippines,Asia,Bachelor’s degree,1-3 years,Visual Studio ,0-49 employees,3-4
97,25-29,Man,Philippines,Asia,Bachelor’s degree,1-3 years, Sublime Text,0-49 employees,3-4
97,25-29,Man,Philippines,Asia,Bachelor’s degree,1-3 years,Jupyter Notebook,0-49 employees,3-4
98,60-69,Man,Taiwan,Asia,Doctoral degree,1-3 years, Spyder,250-999 employees,20+
98,60-69,Man,Taiwan,Asia,Doctoral degree,1-3 years,Jupyter Notebook,250-999 employees,20+
99,35-39,Woman,Australia,Oceanía,Doctoral degree,3-5 years,Visual Studio Code (VSCode) ,50-249 employees,3-4
99,35-39,Woman,Australia,Oceanía,Doctoral degree,3-5 years,PyCharm ,50-249 employees,3-4
99,35-39,Woman,Australia,Oceanía,Doctoral degree,3-5 years,Jupyter Notebook,50-249 employees,3-4
100,25-29,Woman,Nigeria,África,Master’s degree,< 1 years, None,"10,000 or more employees",20+
101,40-44,Man,Germany,Europa,Master’s degree,< 1 years,Jupyter Notebook,250-999 employees,1-2
102,25-29,Man,India,Asia,Bachelor’s degree,< 1 years, Spyder,"1000-9,999 employees",10-14
102,25-29,Man,India,Asia,Bachelor’s degree,< 1 years,Jupyter Notebook,"1000-9,999 employees",10-14
103,18-21,Man,China,Asia,Some college/university study without earning a bachelor’s degree,< 1 years,MATLAB ,"1000-9,999 employees",20+
104,25-29,Man,Pakistan,Asia,Bachelor’s degree,< 1 years,Jupyter Notebook,0-49 employees,0
105,30-34,Man,Other,,Master’s degree,1-3 years,RStudio ,50-249 employees,0
105,30-34,Man,Other,,Master’s degree,1-3 years,Visual Studio ,50-249 employees,0
105,30-34,Man,Other,,Master’s degree,1-3 years,Visual Studio Code (VSCode) ,50-249 employees,0
105,30-34,Man,Other,,Master’s degree,1-3 years, Notepad++,50-249 employees,0
106,30-34,Man,Germany,Europa,Doctoral degree,10-20 years,Jupyter-JupyterLab-JupyterNotebooks ,"1000-9,999 employees",10-14
106,30-34,Man,Germany,Europa,Doctoral degree,10-20 years,PyCharm ,"1000-9,999 employees",10-14
106,30-34,Man,Germany,Europa,Doctoral degree,10-20 years, Notepad++,"1000-9,999 employees",10-14
106,30-34,Man,Germany,Europa,Doctoral degree,10-20 years,Jupyter Notebook,"1000-9,999 employees",10-14
107,30-34,Woman,Germany,Europa,Master’s degree,5-10 years,RStudio ,"10,000 or more employees",5-9
107,30-34,Woman,Germany,Europa,Master’s degree,5-10 years, Spyder,"10,000 or more employees",5-9
107,30-34,Woman,Germany,Europa,Master’s degree,5-10 years, Notepad++,"10,000 or more employees",5-9
107,30-34,Woman,Germany,Europa,Master’s degree,5-10 years,Jupyter Notebook,"10,000 or more employees",5-9
108,25-29,Man,Nigeria,África,Master’s degree,< 1 years,Jupyter Notebook,0-49 employees,1-2
